object airmass expV expB Vcountlist Bcountlist
a1 1.0 5 10 12687301 22438244
a2 1.0 5 10 5534312 7521077
a3 1.0 5 10 2280320 1835230
a4 1.0 5 10 990631 560093
a5 1.0 5 10 337942 124145
a1 1.3 6 12 14711983 25343232
a2 1.3 6 12 6404748 8489650
a3 1.3 6 12 2638025 2060068
a4 1.3 6 12 1138554 626563
a5 1.3 6 12 388549 138593
a1 2.0 7 15 15845201 25669738
a2 2.0 7 15 6885820 8636456
a3 2.0 7 15 2796503 2042511
a4 2.0 7 15 1206461 630063
a5 2.0 7 15 410667 130178
b1 1.5 10 20 16611138 25755872
b2 1.5 10 20 7207806 9408614
b3 1.5 10 20 2238195 1881269
b4 1.5 10 20 1400365 584810
b5 1.5 10 20 332610 74996
b1 2.5 5 10 7395540 10503907
b2 2.5 5 10 3208276 3887342
b3 2.5 5 10 979923 740349
b4 2.5 5 10 610134 236381
b5 2.5 5 10 142919 28557
s1 1.2 15 30 8695591 14211249
s2 1.2 15 30 1998330 754762
q1 1.4 200 400 180181 112201
g1 2.1 600 1200 1556 835
