|     obsdate |  UL5_4 | e_UL5_4 |    mag | e_mag | observatory | filter |                                                                                           image |
| 59532.20242 | 18.879 |   0.048 | 14.854 | 0.062 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59532.2024_720.com.fits |
| 59533.15155 | 18.421 |   0.047 | 14.358 | 0.056 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59533.1515_660.com.fits |
|  59535.1425 | 18.523 |   0.048 |   13.5 | 0.053 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59535.1425_720.com.fits |
|  59536.1575 | 18.465 |   0.048 | 13.192 | 0.052 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59536.1575_720.com.fits |
| 59539.27408 | 18.757 |   0.049 | 12.601 | 0.051 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59539.2741_720.com.fits |
| 59540.25692 | 18.905 |   0.049 | 12.478 | 0.051 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59540.2569_720.com.fits |
|  59544.2265 |  19.16 |   0.049 | 12.237 | 0.051 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59544.2265_720.com.fits |
|   59545.318 |  17.19 |   0.063 |  12.09 | 0.066 |      RASA36 |      r |   /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59545.318_180.com.fits |
|  59558.2395 | 19.672 |   0.044 | 12.578 | 0.045 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59558.2395_720.com.fits |
| 59559.20908 | 18.062 |   0.062 |  12.56 | 0.065 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59559.2091_720.com.fits |
| 59560.18342 | 19.285 |   0.043 | 12.605 | 0.045 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59560.1834_720.com.fits |
| 59561.20008 | 19.352 |   0.044 | 12.691 | 0.045 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59561.2001_720.com.fits |
|  59563.1345 | 19.364 |   0.029 | 12.837 | 0.029 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59563.1345_720.com.fits |
|  59564.1485 | 19.221 |   0.029 | 12.864 | 0.029 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59564.1485_720.com.fits |
| 59566.27592 | 18.663 |   0.029 |   13.0 | 0.029 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59566.2759_720.com.fits |
| 59570.21958 | 19.248 |   0.043 | 12.892 | 0.045 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59570.2196_720.com.fits |
| 59572.26863 | 18.278 |   0.047 |  12.81 |  0.05 |      RASA36 |      r | /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59572.2686_1440.com.fits |
| 59574.20371 |  17.82 |   0.057 | 13.022 | 0.061 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59574.2037_420.com.fits |
| 59576.19958 | 19.499 |   0.044 | 12.963 | 0.046 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59576.1996_720.com.fits |
