|        obj |   ra_hms |   dec_dms | filter | exptime | count | binning |                 weight |     note | scheduled |     name |       ra |      dec |                d_L |               prob_vol | stmass |      prob_vol_x_stmass | rank | confidence |                                                  mainTarget |                                                                          FixedTarget |                               id |            moonsep |                    rise |                    transit |                     set | maxalt |
| MS181101ab | 13:09:47 | -23:23:01 |      r |     180 |     3 |       1 |                    1.0 |  1151336 |      True |  1151336 | 197.4488 | -23.3838 |           41.00982 |  0.0034103917136311737 |    2.2 |                    1.0 |    0 |        0.5 | Target[name=MS181101ab, ra[deg]=197.4488, dec[deg]=-23.3838 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.4488, -23.3838)> | b74b64b4186f4538886eff298bcf73ff |  50.16455053354059 | 2023-04-30T08:10:28.181 | 2023-04-30 12:42:45.860474 | 2023-04-30T17:13:31.578 |  82.23 |
| MS181101ab | 13:07:33 | -24:00:30 |      r |     180 |     3 |       1 |     0.6085186466728523 |  1151235 |      True |  1151235 | 196.8906 | -24.0086 |          47.736632 |  0.0013045059575642586 |    3.5 |     0.6085186466728523 |    1 |        0.5 | Target[name=MS181101ab, ra[deg]=196.8906, dec[deg]=-24.0086 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.8906, -24.0086)> | cf6cd2c771e645adadc06eef65fdb92a | 50.211794961940704 | 2023-04-30T08:07:02.803 | 2023-04-30 12:40:51.607060 | 2023-04-30T17:12:29.711 |  82.86 |
| MS181101ab | 13:07:05 | -23:40:37 |      r |     180 |     3 |       1 |    0.47172028439399605 |  1151925 |      True |  1151925 | 196.7749 |  -23.677 |           41.62172 |  0.0027226465306364306 |    1.3 |    0.47172028439399605 |    2 |        0.9 |  Target[name=MS181101ab, ra[deg]=196.7749, dec[deg]=-23.677 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.7749, -23.677)> | fb2f8c4ca031464e95a6e6cd3fb16880 |  49.90811694731426 | 2023-04-30T08:07:12.988 | 2023-04-30 12:40:22.916208 | 2023-04-30T17:11:23.938 |  82.53 |
| MS181101ab | 13:08:04 | -23:47:48 |      r |     180 |     3 |       1 |     0.4120000209367641 |  1261378 |      True |  1261378 |  197.018 | -23.7968 |          32.562444 |    0.00257615718393637 |    1.2 |     0.4120000209367641 |    3 |        0.9 |  Target[name=MS181101ab, ra[deg]=197.018, dec[deg]=-23.7968 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.018, -23.7968)> | 06bf516953d14846a145d9fa647fbe2a |  50.15266901556806 | 2023-04-30T08:07:57.536 | 2023-04-30 12:41:17.250615 | 2023-04-30T17:12:35.941 |  82.65 |
| MS181101ab | 12:57:27 | -19:41:28 |      r |     180 |     3 |       1 |     0.3666859663343284 |  1151111 |      True |  1151111 | 194.3663 | -19.6913 |          49.459035 |  0.0008092410923136415 |    3.4 |     0.3666859663343284 |    4 |        0.9 | Target[name=MS181101ab, ra[deg]=194.3663, dec[deg]=-19.6913 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (194.3663, -19.6913)> | c09756fa33924af39420af53f1d9ef38 |  45.55734975997078 | 2023-04-30T08:05:25.763 | 2023-04-30 12:29:50.169449 | 2023-04-30T16:53:55.937 |  78.55 |
| MS181101ab | 13:06:56 | -23:55:01 |      r |     180 |     3 |       1 |     0.2973514050553863 |  1151752 |      True |  1151752 | 196.7355 | -23.9171 |          41.619489 |  0.0020283970928404445 |    1.1 |     0.2973514050553863 |    5 |        0.9 | Target[name=MS181101ab, ra[deg]=196.7355, dec[deg]=-23.9171 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.7355, -23.9171)> | e962979981a546d199893da5cda47994 |  50.04580195329947 | 2023-04-30T08:06:36.074 | 2023-04-30 12:40:16.576874 | 2023-04-30T17:11:42.073 |  82.77 |
| MS181101ab | 12:51:18 | -14:34:24 |      r |     180 |     3 |       1 |    0.11368327318682198 |  1261457 |      True |  1261457 | 192.8274 | -14.5736 |          52.342726 |  0.0003160243077313784 |    2.7 |    0.11368327318682198 |    6 |        0.9 | Target[name=MS181101ab, ra[deg]=192.8274, dec[deg]=-14.5736 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (192.8274, -14.5736)> | bb71b778a74d441a9e28f2f5a3532b9c |  41.07150291105934 | 2023-04-30T08:10:01.918 | 2023-04-30 12:23:10.072323 | 2023-04-30T16:37:01.272 |  73.43 |
| MS181101ab | 13:05:04 | -22:23:02 |      r |     180 |     3 |       1 |    0.09705845223690422 |  1159426 |      True |  1159426 | 196.2706 | -22.3839 |           35.06111 |   0.004856918688073823 |   0.15 |    0.09705845223690422 |    7 |        0.9 | Target[name=MS181101ab, ra[deg]=196.2706, dec[deg]=-22.3839 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.2706, -22.3839)> | 8306af8a90404ee8be71078a8c71f428 | 48.688724274697876 | 2023-04-30T08:07:41.661 | 2023-04-30 12:38:15.912793 | 2023-04-30T17:06:53.096 |  81.23 |
| MS181101ab | 13:07:37 | -23:34:44 |      r |     180 |     3 |       1 |    0.09336503240283517 |  1159936 |      True |  1159936 | 196.9072 | -23.5789 |          46.073292 |  0.0023360930032965857 |    0.3 |    0.09336503240283517 |    8 |        0.9 | Target[name=MS181101ab, ra[deg]=196.9072, dec[deg]=-23.5789 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.9072, -23.5789)> | 2fd900aa7cda433080876e93623bd291 |  49.93012347364348 | 2023-04-30T08:07:55.947 | 2023-04-30 12:40:51.141161 | 2023-04-30T17:11:44.338 |  82.43 |
| MS181101ab | 13:16:23 | -26:33:41 |      r |     180 |     3 |       1 |    0.05443880870394546 |  1156123 |      True |  1156123 | 199.0968 | -26.5616 |          46.961349 |  0.0005839767442587696 |    0.7 |    0.05443880870394546 |    9 |       0.95 | Target[name=MS181101ab, ra[deg]=199.0968, dec[deg]=-26.5616 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (199.0968, -26.5616)> | 3e1142df0b0c4c938872e4003ab8a4f6 |   53.4102476039425 | 2023-04-30T08:11:05.265 | 2023-04-30 12:48:15.829234 | 2023-04-30T17:26:05.642 |  85.41 |
