|       obj |   ra_hms |   dec_dms | filter | exptime | count | binning |                weight |    note | scheduled |    name |       ra |      dec |                d_L |               prob_vol | stmass |     prob_vol_x_stmass | rank | confidence |                                                 mainTarget |                                                                         FixedTarget |                               id | moonsep |                    rise |                    transit |                     set | maxalt |
| MS230427d | 06:40:11 | -25:53:43 |    V,R | 120,120 |   5,5 |     1,1 |                   1.0 | 1152284 |     False | 1152284 | 100.0487 | -25.8954 |         116.807084 |   8.59650689663783e-06 |   14.0 |                   1.0 |    0 |        0.5 | Target[name=MS230427d, ra[deg]=100.0487, dec[deg]=-25.8954 | <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (100.0487, -25.8954)> | 9a14d92b42794e08b06f990b23a15dce |      56 |                         | 2023-04-27 07:53:09.149617 |                         |    4.9 |
| MS230427d | 06:21:26 | -28:06:41 |    V,R | 120,120 |   5,5 |     1,1 |    0.8683937534012569 | 1151739 |     False | 1151739 |  95.3604 | -28.1114 |           96.34758 | 1.1612461526288578e-05 |    9.0 |    0.8683937534012569 |    1 |        0.5 |  Target[name=MS230427d, ra[deg]=95.3604, dec[deg]=-28.1114 |  <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (95.3604, -28.1114)> | c0509ce4e647408989726daa2afd025d |      60 |                         | 2023-04-27 07:34:38.723654 |                         |    0.4 |
| MS230427d | 08:14:25 |  04:20:32 |    V,R | 120,120 |   5,5 |     1,1 |    0.5032446706359942 | 1026907 |     False | 1026907 | 123.6054 |   4.3423 |         153.702853 | 1.5141524513216483e-06 |   40.0 |    0.5032446706359942 |    2 |        0.5 |   Target[name=MS230427d, ra[deg]=123.6054, dec[deg]=4.3423 |   <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (123.6054, 4.3423)> | 10d8da0550614da39ea4cb0ecc761554 |      19 |                         | 2023-04-27 09:26:35.424539 |                         |   42.7 |
| MS230427d | 06:40:30 | -27:12:23 |    V,R | 120,120 |   5,5 |     1,1 |   0.46833920248356625 | 1154853 |     False | 1154853 | 100.1255 | -27.2065 |         107.734728 |  1.174274749295203e-05 |    4.8 |   0.46833920248356625 |    3 |        0.5 | Target[name=MS230427d, ra[deg]=100.1255, dec[deg]=-27.2065 | <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (100.1255, -27.2065)> | 551f6fcfc58b4f8084d75cba5f9fc20a |      57 |                         | 2023-04-27 07:53:26.258436 |                         |    4.0 |
| MS230427d | 06:29:13 | -26:29:46 |    V,R | 120,120 |   5,5 |     1,1 |   0.46073802162450983 | 1152928 |     False | 1152928 |   97.308 | -26.4963 |         100.422118 | 1.0872623834913172e-05 |    5.1 |   0.46073802162450983 |    4 |        0.5 |   Target[name=MS230427d, ra[deg]=97.308, dec[deg]=-26.4963 |   <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (97.308, -26.4963)> | b77b556cc79c4ab9bb920f44a5c7143f |      57 |                         | 2023-04-27 07:42:23.255956 |                         |    2.8 |
| MS230427d | 06:29:24 | -28:56:19 |    V,R | 120,120 |   5,5 |     1,1 |   0.45442428787523165 | 1158115 |     False | 1158115 |  97.3501 | -28.9386 |         107.276117 |  1.367262909448914e-05 |    4.0 |   0.45442428787523165 |    5 |        0.5 |  Target[name=MS230427d, ra[deg]=97.3501, dec[deg]=-28.9386 |  <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (97.3501, -28.9386)> | 61f51f866709457886779b098cf35058 |      60 |                         | 2023-04-27 07:42:30.631616 |                         |    1.1 |
| MS230427d | 06:43:34 | -23:19:22 |    V,R | 120,120 |   5,5 |     1,1 |    0.4423986181223558 | 1325028 |     False | 1325028 |  100.895 |  -23.323 |          94.863479 | 1.3310803762359125e-05 |    4.0 |    0.4423986181223558 |    6 |        0.5 |   Target[name=MS230427d, ra[deg]=100.895, dec[deg]=-23.323 |   <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (100.895, -23.323)> | fe6c5a3d405648b6bfb7e1bb8dcc71f1 |      53 |                         | 2023-04-27 07:56:29.383493 |                         |    7.3 |
| MS230427d | 06:26:37 | -29:56:01 |    V,R | 120,120 |   5,5 |     1,1 |    0.3970683300706515 | 1158493 |     False | 1158493 |  96.6578 | -29.9338 |         101.536791 |  1.592922324926405e-05 |    3.0 |    0.3970683300706515 |    7 |        0.5 |  Target[name=MS230427d, ra[deg]=96.6578, dec[deg]=-29.9338 |  <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (96.6578, -29.9338)> | 2a9438d60b274d4597862ad7b3a7377e |      61 |                         | 2023-04-27 07:39:45.492700 |                         |   -0.1 |
| MS230427d | 06:29:34 | -26:37:53 |    V,R | 120,120 |   5,5 |     1,1 |   0.38458467226234316 | 1153428 |     False | 1153428 |  97.3929 | -26.6314 |         109.156233 |  9.257049820157924e-06 |    5.0 |   0.38458467226234316 |    8 |        0.5 |  Target[name=MS230427d, ra[deg]=97.3929, dec[deg]=-26.6314 |  <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (97.3929, -26.6314)> | d8729701ce804e78bb6d64a44c2053bc |      58 |                         | 2023-04-27 07:42:43.183308 |                         |    2.7 |
| MS230427d | 06:28:49 | -28:44:57 |    V,R | 120,120 |   5,5 |     1,1 |    0.3805347179707721 | 1160638 |     False | 1160638 |  97.2055 | -28.7493 |         106.240606 | 1.4773494992979511e-05 |    3.1 |    0.3805347179707721 |    9 |        0.5 |  Target[name=MS230427d, ra[deg]=97.2055, dec[deg]=-28.7493 |  <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (97.2055, -28.7493)> | 9ca7dea08be7408192dbed102cc5c32c |      59 |                         | 2023-04-27 07:41:56.609189 |                         |    1.1 |
| MS230427d | 05:51:05 | -36:01:00 |    V,R | 120,120 |   5,5 |     1,1 |    0.3119985773928014 | 1155997 |     False | 1155997 |  87.7731 | -36.0168 |         107.343371 | 1.2516480103486755e-05 |    3.0 |    0.3119985773928014 |   10 |        0.5 |  Target[name=MS230427d, ra[deg]=87.7731, dec[deg]=-36.0168 |  <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (87.7731, -36.0168)> | a35786cec8ab4c0481ed62610fcf0381 |      70 |                         | 2023-04-27 07:03:49.152113 |                         |   -9.7 |
| MS230427d | 06:17:51 | -32:51:18 |    V,R | 120,120 |   5,5 |     1,1 |   0.31038018339094026 | 1160013 |     False | 1160013 |  94.4626 | -32.8552 |         102.314639 |  9.338666245232003e-06 |    4.0 |   0.31038018339094026 |   11 |        0.5 |  Target[name=MS230427d, ra[deg]=94.4626, dec[deg]=-32.8552 |  <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (94.4626, -32.8552)> | e4c8602537b844f195d4fcf9d34bd37e |      64 |                         | 2023-04-27 07:30:58.103125 |                         |   -3.4 |
| MS230427d | 06:59:05 | -20:49:51 |    V,R | 120,120 |   5,5 |     1,1 |    0.3094734719595612 | 1309802 |     False | 1309802 | 104.7742 | -20.8309 |          82.530264 | 1.8622770678681946e-05 |    2.0 |    0.3094734719595612 |   12 |        0.5 | Target[name=MS230427d, ra[deg]=104.7742, dec[deg]=-20.8309 | <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (104.7742, -20.8309)> | 3df0b839c5e84b41a855472eeb819bbd |      49 |                         | 2023-04-27 08:11:43.330940 |                         |   11.6 |
| MS230427d | 06:53:36 | -21:23:20 |    V,R | 120,120 |   5,5 |     1,1 |   0.30178834476426186 | 1153881 |     False | 1153881 | 103.4001 | -21.3891 |         122.758556 |  4.908192997212593e-06 |    7.4 |   0.30178834476426186 |   13 |        0.5 | Target[name=MS230427d, ra[deg]=103.4001, dec[deg]=-21.3891 | <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (103.4001, -21.3891)> | e7b3982128f645ef9d160c47a335f419 |      50 |                         | 2023-04-27 08:06:18.423992 |                         |   10.3 |
| MS230427d | 06:53:36 | -21:23:20 |    V,R | 120,120 |   5,5 |     1,1 |    0.2785974233643982 | 1339564 |     False | 1339564 |    103.4 | -21.3891 |         120.085457 |  5.588263027693769e-06 |    6.0 |    0.2785974233643982 |   14 |        0.5 |    Target[name=MS230427d, ra[deg]=103.4, dec[deg]=-21.3891 |    <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (103.4, -21.3891)> | a417d09999b942f79d7ecf954e3d9f23 |      50 |                         | 2023-04-27 08:06:18.400415 |                         |   10.3 |
| MS230427d | 07:04:20 | -21:35:19 |    V,R | 120,120 |   5,5 |     1,1 |   0.27775089992812385 | 1351483 |     False | 1351483 |  106.087 | -21.5887 |         113.079154 |  8.356924556934385e-06 |    4.0 |   0.27775089992812385 |   15 |        0.5 |  Target[name=MS230427d, ra[deg]=106.087, dec[deg]=-21.5887 |  <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (106.087, -21.5887)> | 55feba2585ff4c9bb0c661e548a824d1 |      49 |                         | 2023-04-27 08:16:56.383517 |                         |   11.8 |
| MS230427d | 04:45:07 | -41:34:43 |    V,R | 120,120 |   5,5 |     1,1 |   0.26097016457763295 | 1155600 |     False | 1155600 |  71.2817 | -41.5788 |          95.150344 |  6.827852319817109e-06 |    4.6 |   0.26097016457763295 |   16 |        0.5 |  Target[name=MS230427d, ra[deg]=71.2817, dec[deg]=-41.5788 |  <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (71.2817, -41.5788)> | 67ab591f0f5c4d8e9b11ee9a1b1d97bd |      83 |                         | 2023-04-27 05:58:06.291102 |                         |  -23.3 |
| MS230427d | 06:56:35 | -19:20:33 |    V,R | 120,120 |   5,5 |     1,1 |   0.25685700855213967 | 1153979 |     False | 1153979 |  104.146 | -19.3427 |          93.746493 |  6.869577243763131e-06 |    4.5 |   0.25685700855213967 |   17 |        0.5 |  Target[name=MS230427d, ra[deg]=104.146, dec[deg]=-19.3427 |  <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (104.146, -19.3427)> | b4ee9957255e4242b69cdbb9823c1be4 |      48 |                         | 2023-04-27 08:09:14.562767 |                         |   12.3 |
| MS230427d | 06:29:22 | -28:31:06 |    V,R | 120,120 |   5,5 |     1,1 |    0.2554023210789052 | 1163443 |     False | 1163443 |  97.3449 | -28.5184 |         105.672597 |  1.536901225556097e-05 |    2.0 |    0.2554023210789052 |   18 |        0.5 |  Target[name=MS230427d, ra[deg]=97.3449, dec[deg]=-28.5184 |  <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (97.3449, -28.5184)> | 89b63bec2c5547fca0a5011a8385e8fa |      59 |                         | 2023-04-27 07:42:29.844494 |                         |    1.4 |
| MS230427d | 06:28:34 | -29:43:48 |    V,R | 120,120 |   5,5 |     1,1 |    0.2553406970203863 | 1166958 |     False | 1166958 |  97.1419 | -29.7302 |         103.226433 | 1.3968457876478709e-05 |    2.2 |    0.2553406970203863 |   19 |        0.5 |  Target[name=MS230427d, ra[deg]=97.1419, dec[deg]=-29.7302 |  <FixedTarget "MS230427d" at SkyCoord (ICRS): (ra, dec) in deg (97.1419, -29.7302)> | 59562c37405144128ad9c0c1f8075b4c |      60 |                         | 2023-04-27 07:41:40.498755 |                         |    0.4 |
