#	Observing Date = 2023-04-28
#	Observatory = CBNUO
#	-18 deg sunset = 20:50
#	-18 deg sunrise = 04:00
#	Moon ra, dec = 8:31:12.09   24:21:6.98
#	Moon phase = 0.48
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|      name |       ra |      dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) |                 weight |  note |
| MS230427d | 10:45:11 | 62:43:38 |    14:28 |       20:53 |   03:19 |             45 |   0.005032368900304461 | 23976 |
| MS230427d | 10:51:53 | 63:49:05 |    14:30 |       20:59 |   03:30 |             46 |  0.0009130608030174292 | 24128 |
| MS230427d | 10:52:04 | 61:38:10 |    14:39 |       20:59 |   03:21 |             44 |   0.001025921993879898 | 23820 |
| MS230427d | 10:54:32 | 64:54:32 |    14:28 |       21:02 |   03:38 |             47 |   0.012255213871338606 | 24274 |
| MS230427d | 10:54:32 | 62:43:38 |    14:37 |       21:02 |   03:28 |             45 | 0.00046309679660745326 | 23977 |
| MS230427d | 10:59:32 | 67:05:27 |    14:22 |       21:07 |   03:53 |             49 |    0.01965004017114107 | 24549 |
| MS230427d | 11:01:37 | 63:49:05 |    14:40 |       21:09 |   03:40 |             47 |  0.0009455397598400315 | 24129 |
| MS230427d | 11:02:11 | 65:59:59 |    14:30 |       21:10 |   03:51 |             48 |    0.01038417017369277 | 24415 |
| MS230427d | 11:02:51 | 68:10:54 |    14:20 |       21:11 |   04:02 |             50 |                    0.0 | 24678 |
| MS230427d | 11:04:36 | 64:54:32 |    14:38 |       21:13 |   03:48 |             48 |     0.0414088025399662 | 24275 |
| MS230427d | 11:10:32 | 67:05:27 |    14:33 |       21:19 |   04:04 |             49 |    0.01774444545117922 | 24550 |
| MS230427d | 11:12:00 | 69:16:21 |    14:23 |       21:20 |   04:18 |             51 |   0.008822004953369945 | 24802 |
| MS230427d | 11:12:42 | 65:59:59 |    14:41 |       21:21 |   04:01 |             49 |   0.015525628909391319 | 24416 |
