|       obj |   ra_hms |   dec_dms | filter | exptime | count | binning |                 weight | note | scheduled |  #id |       ra |      dec |                ra1 |                dec1 |                ra2 |                dec2 |                ra3 |                dec3 |                ra4 |                dec4 | n_hostgalaxy |      prob_vol_x_stmass | rank | confidence |                                                 mainTarget |                                                                         FixedTarget |                               id | moonsep |                    rise |                    transit |                     set | maxalt |
| MS230427g | 01:02:36 |  -7:42:51 |      r |      60 |    18 |       1 |      5.550197524724817 | 1056 |     False | 1056 |  15.6522 |  -7.7143 | 17.002643583013924 |  -6.369662043398886 | 17.011244258882005 |  -9.054648519068934 | 14.293103567204982 |  -9.054648519068934 | 14.301704243073063 |  -6.369662043398886 |          153 |      5.550197524724817 |    0 |        0.5 |   Target[name=MS230427g, ra[deg]=15.6522, dec[deg]=-7.7143 |   <FixedTarget "MS230427g" at SkyCoord (ICRS): (ra, dec) in deg (15.6522, -7.7143)> | d93e6af08e3f46a1ae69de25f42ad46c |     107 |                         | 2023-04-27 15:25:25.809869 |                         |    8.7 |
| MS230427g | 01:26:36 | -18:00:00 |      r |      60 |    18 |       1 |      4.292959537506836 |  518 |     False |  518 |  21.6541 |    -18.0 | 23.055030221305977 |  -16.65242855258158 | 23.076525615153333 | -19.337350738895026 |  20.23174506153842 | -19.337350738895026 | 20.253240455385782 |  -16.65242855258158 |           97 |      4.292959537506836 |    1 |        0.5 |     Target[name=MS230427g, ra[deg]=21.6541, dec[deg]=-18.0 |      <FixedTarget "MS230427g" at SkyCoord (ICRS): (ra, dec) in deg (21.6541, -18.)> | 7c4c05888c6c406d82fd4ba4c344929d |     106 |                         | 2023-04-27 15:51:46.350562 |                         |    8.7 |
| MS230427g | 00:41:26 |  02:34:17 |      r |      60 |    18 |       1 |     3.6835525591183003 | 1608 |     False | 1608 |  10.3597 |   2.5714 | 11.704980644985016 |  3.9132215105778028 | 11.702152141083591 |  1.2282229971460725 |  9.017272319348093 |  1.2282229971460725 |  9.014443815446672 |  3.9132215105778028 |           72 |     3.6835525591183003 |    2 |        0.5 |    Target[name=MS230427g, ra[deg]=10.3597, dec[deg]=2.5714 |    <FixedTarget "MS230427g" at SkyCoord (ICRS): (ra, dec) in deg (10.3597, 2.5714)> | bfe9f9b3c74847679a44141de45d06f9 |     107 |                         | 2023-04-27 15:03:26.883730 |                         |    8.0 |
| MS230427g | 01:54:17 | -25:42:51 |      r |      60 |    18 |       1 |     3.4593065292360166 |  134 |     False |  134 |  28.5714 | -25.7143 |  30.04480252286117 | -24.364296558100264 |   30.0784327256279 | -27.049125620102117 |  27.06442441722928 | -27.049125620102117 | 27.098054619996017 | -24.364296558100264 |           98 |     3.4593065292360166 |    3 |        0.5 |  Target[name=MS230427g, ra[deg]=28.5714, dec[deg]=-25.7143 |  <FixedTarget "MS230427g" at SkyCoord (ICRS): (ra, dec) in deg (28.5714, -25.7143)> | 1e58b28584d54086911b54c05a8cba59 |     103 |                         | 2023-04-27 16:12:27.844411 |                         |    7.0 |
| MS230427g | 01:02:36 |  -5:08:34 |      r |      60 |    18 |       1 |      3.288198595518607 | 1194 |     False | 1194 |  15.6522 |  -5.1429 |  16.99726145404839 |  -3.798944634426875 | 17.002947075495616 |  -6.483938664089822 | 14.301400750591359 |  -6.483938664089821 | 14.307086372038585 |  -3.798944634426875 |          102 |      3.288198595518607 |    4 |        0.5 |   Target[name=MS230427g, ra[deg]=15.6522, dec[deg]=-5.1429 |   <FixedTarget "MS230427g" at SkyCoord (ICRS): (ra, dec) in deg (15.6522, -5.1429)> | df53b0554a984686bec889889443992d |     106 |                         | 2023-04-27 15:25:25.819565 |                         |    7.4 |
| MS230427g | 01:25:58 | -15:25:42 |      r |      60 |    18 |       1 |      2.637112138305056 |  651 |     False |  651 |  21.4925 | -15.4286 | 22.876257923573494 | -14.081758883782793 | 22.894271372896483 | -16.766702744722476 |  20.09080325396922 | -16.766702744722476 | 20.108816703292216 | -14.081758883782792 |           61 |      2.637112138305056 |    5 |        0.5 |  Target[name=MS230427g, ra[deg]=21.4925, dec[deg]=-15.4286 |  <FixedTarget "MS230427g" at SkyCoord (ICRS): (ra, dec) in deg (21.4925, -15.4286)> | 9840e253cf2948e8a60086313b41477e |     105 |                         | 2023-04-27 15:50:47.512780 |                         |    7.5 |
| MS230427g | 01:14:07 | -12:51:25 |      r |      60 |    18 |       1 |     2.4542901873402694 |  784 |     False |  784 |  18.5294 | -12.8571 |  19.89909793039055 | -11.511072309187258 |  19.91382789023466 | -14.196033912171764 | 17.144995639177136 | -14.196033912171764 | 17.159725599021243 | -11.511072309187258 |           74 |     2.4542901873402694 |    6 |        0.5 |  Target[name=MS230427g, ra[deg]=18.5294, dec[deg]=-12.8571 |  <FixedTarget "MS230427g" at SkyCoord (ICRS): (ra, dec) in deg (18.5294, -12.8571)> | 5fd4250bf065476f83f2178fc80a6a8c |     106 |                         | 2023-04-27 15:38:52.518227 |                         |    8.8 |
| MS230427g | 01:15:13 | -15:25:42 |      r |      60 |    18 |       1 |      2.444943707536525 |  650 |     False |  650 |   18.806 | -15.4286 | 20.189690759394377 | -14.081758883782792 | 20.207704208717377 | -16.766702744722476 |  17.40423608979011 | -16.766702744722476 | 17.422249539113107 | -14.081758883782792 |           87 |      2.444943707536525 |    7 |        0.5 |   Target[name=MS230427g, ra[deg]=18.806, dec[deg]=-15.4286 |   <FixedTarget "MS230427g" at SkyCoord (ICRS): (ra, dec) in deg (18.806, -15.4286)> | 9e0b9ec04fc34b739f87c59e478f5ff0 |     107 |                         | 2023-04-27 15:40:25.946246 |                         |    9.8 |
| MS230427g | 01:38:55 | -20:34:17 |      r |      60 |    18 |       1 |     2.2504562163814663 |  388 |     False |  388 |  24.7328 | -20.5714 | 26.154222485954932 | -19.223077558193822 |  26.17944432249005 | -21.907973738995327 | 23.286204532471814 | -21.907973738995327 |  23.31142636900693 | -19.223077558193822 |           62 |     2.2504562163814663 |    8 |        0.5 |  Target[name=MS230427g, ra[deg]=24.7328, dec[deg]=-20.5714 |  <FixedTarget "MS230427g" at SkyCoord (ICRS): (ra, dec) in deg (24.7328, -20.5714)> | 423cbbd7671649449ec620741ed2f21a |     104 |                         | 2023-04-27 16:01:54.848086 |                         |    7.4 |
| MS230427g | 13:21:17 |  28:17:08 |      r |      60 |    18 |       1 |      2.144004674248674 | 3014 |     False | 3014 | 200.3226 |  28.2857 | 201.86650297884594 |  29.619643297737973 |  201.8280543632187 |   26.93485673875863 | 198.81710692710394 |   26.93485673875863 | 198.77865831147673 |  29.619643297737973 |          111 |      2.144004674248674 |    9 |        0.5 |  Target[name=MS230427g, ra[deg]=200.3226, dec[deg]=28.2857 |  <FixedTarget "MS230427g" at SkyCoord (ICRS): (ra, dec) in deg (200.3226, 28.2857)> | e5e37db175f24934bea48e901890962e |      69 | 2023-04-27T03:04:54.264 | 2023-04-27 03:27:32.174221 | 2023-04-27T04:31:31.467 |   31.2 |
