#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
15038,91.765,22.364,92.407,22.954,92.402,21.771,91.128,21.771,91.122,22.954,3,1.029,0,0.5,MS230427x,15038,1.029
14731,92.338,21.273,92.975,21.863,92.970,20.680,91.705,20.680,91.700,21.863,2,1.023,1,0.9,MS230427x,14731,1.023
13794,89.427,18.000,90.051,18.591,90.047,17.408,88.807,17.408,88.803,18.591,5,0.152,2,0.9,MS230427x,13794,0.152
12840,86.897,14.727,87.510,15.318,87.506,14.135,86.287,14.135,86.283,15.318,9,0.142,3,0.9,MS230427x,12840,0.142
13792,87.134,18.000,87.758,18.591,87.754,17.408,86.514,17.408,86.510,18.591,6,0.110,4,0.9,MS230427x,13792,0.110
5642,76.431,-9.273,77.029,-8.681,77.031,-9.864,75.830,-9.864,75.832,-8.681,4,0.075,5,0.9,MS230427x,5642,0.075
16540,94.608,27.818,95.280,28.408,95.273,27.225,93.942,27.225,93.935,28.408,8,0.070,6,0.9,MS230427x,16540,0.070
15948,94.228,25.636,94.888,26.226,94.881,25.043,93.575,25.043,93.569,26.226,2,0.058,7,0.9,MS230427x,15948,0.058
5317,75.556,-10.364,76.156,-9.772,76.158,-10.955,74.953,-10.955,74.955,-9.772,5,0.055,8,0.9,MS230427x,5317,0.055
12199,88.323,12.545,88.930,13.136,88.928,11.953,87.718,11.953,87.716,13.136,3,0.055,9,0.9,MS230427x,12199,0.055
14730,91.169,21.273,91.806,21.863,91.801,20.680,90.537,20.680,90.532,21.863,3,0.044,10,0.9,MS230427x,14730,0.044
5968,77.301,-8.182,77.897,-7.590,77.899,-8.773,76.702,-8.773,76.704,-7.590,4,0.043,11,0.9,MS230427x,5968,0.043
10571,83.670,7.091,84.267,7.682,84.265,6.499,83.074,6.499,83.073,7.682,1,0.043,12,0.9,MS230427x,10571,0.043
9584,80.973,3.818,81.566,4.409,81.565,3.226,80.380,3.226,80.379,4.409,2,0.037,13,0.9,MS230427x,9584,0.037
13479,90.000,16.909,90.620,17.500,90.616,16.317,89.384,16.317,89.380,17.500,4,0.037,14,0.9,MS230427x,13479,0.037
12839,85.768,14.727,86.381,15.318,86.378,14.135,85.158,14.135,85.155,15.318,3,0.030,15,0.9,MS230427x,12839,0.030
12841,88.025,14.727,88.638,15.318,88.635,14.135,87.415,14.135,87.412,15.318,2,0.030,16,0.9,MS230427x,12841,0.030
5318,76.667,-10.364,77.267,-9.772,77.269,-10.955,76.064,-10.955,76.066,-9.772,2,0.028,17,0.9,MS230427x,5318,0.028
10572,84.771,7.091,85.367,7.682,85.366,6.499,84.175,6.499,84.174,7.682,1,0.027,18,0.9,MS230427x,10572,0.027
10244,84.512,6.000,85.108,6.591,85.106,5.408,83.918,5.408,83.917,6.591,3,0.026,19,0.9,MS230427x,10244,0.026
13161,89.434,15.818,90.051,16.409,90.047,15.226,88.821,15.226,88.817,16.409,5,0.024,20,0.9,MS230427x,13161,0.024
12842,89.154,14.727,89.767,15.318,89.764,14.135,88.544,14.135,88.540,15.318,2,0.024,21,0.9,MS230427x,12842,0.024
16541,95.836,27.818,96.509,28.408,96.501,27.225,95.171,27.225,95.164,28.408,2,0.021,22,0.9,MS230427x,16541,0.021
7607,77.690,-2.727,78.282,-2.136,78.282,-3.319,77.098,-3.319,77.098,-2.136,3,0.019,23,0.95,MS230427x,7607,0.019
4672,76.025,-12.545,76.629,-11.953,76.632,-13.136,75.417,-13.136,75.420,-11.953,2,0.019,24,0.95,MS230427x,4672,0.019
13162,90.566,15.818,91.183,16.409,91.179,15.226,89.953,15.226,89.949,16.409,4,0.017,25,0.95,MS230427x,13162,0.017
13793,88.280,18.000,88.904,18.591,88.900,17.408,87.660,17.408,87.656,18.591,3,0.015,26,0.95,MS230427x,13793,0.015
13476,86.582,16.909,87.202,17.500,87.199,16.317,85.966,16.317,85.962,17.500,2,0.015,27,0.95,MS230427x,13476,0.015
16246,95.186,26.727,95.852,27.317,95.845,26.134,94.528,26.134,94.521,27.317,3,0.015,28,0.95,MS230427x,16246,0.015
9583,79.878,3.818,80.472,4.409,80.471,3.226,79.286,3.226,79.285,4.409,3,0.013,29,0.95,MS230427x,9583,0.013
15037,90.588,22.364,91.231,22.954,91.225,21.771,89.951,21.771,89.946,22.954,2,0.013,30,0.95,MS230427x,15037,0.013
13478,88.861,16.909,89.481,17.500,89.477,16.317,88.244,16.317,88.241,17.500,2,0.013,31,0.95,MS230427x,13478,0.013
