|       obj |   ra_hms |  dec_dms | filter | exptime | count | binning |                 weight |  note | scheduled |   #id |      ra |     dec |                ra1 |               dec1 |                ra2 |               dec2 |                ra3 |               dec3 |                ra4 |               dec4 | n_hostgalaxy |      prob_vol_x_stmass | rank | confidence |                                               mainTarget |                                                                       FixedTarget |                               id |           moonsep | rise |                    transit | set | maxalt |
| MS230428f | 03:16:40 | 25:46:15 |    g,r | 120,120 |   5,5 |     1,1 | 0.00015922351557418597 | 47191 |     False | 47191 | 49.1707 | 25.7709 |  49.62982721005944 | 26.182207464696873 |  49.62665060130039 |  25.35821243027274 |  48.71481281333378 | 25.358212430272744 |  48.71163620457475 | 26.182207464696873 |            1 | 0.00015922351557418597 |    0 |        0.9 | Target[name=MS230428f, ra[deg]=49.1707, dec[deg]=25.7709 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (49.1707, 25.7709)> | 6ec548f2c081407aa108cad76a5a3bef | 75.68315702936522 |      | 2023-04-27 17:39:37.760200 |     | -11.57 |
| MS230428f | 03:15:15 | 24:58:40 |    g,r | 120,120 |   5,5 |     1,1 |   7.03543600525493e-05 | 46778 |     False | 46778 | 48.8136 |  24.978 |  49.26959548496395 | 25.389281207531063 | 49.266550476359384 | 24.565285830496286 | 48.360568167708436 | 24.565285830496286 |  48.35752315910387 | 25.389281207531063 |            1 |   7.03543600525493e-05 |    1 |        1.0 |  Target[name=MS230428f, ra[deg]=48.8136, dec[deg]=24.978 |  <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (48.8136, 24.978)> | 1aced7b6497f4316bc05eb9d650c6c1e | 76.24822404927467 |      | 2023-04-27 17:38:12.326023 |     | -11.48 |
| MS230428f | 03:16:21 | 29:44:08 |    g,r | 120,120 |   5,5 |     1,1 |                    0.0 | 49213 |     False | 49213 | 49.0909 | 29.7357 |   49.5673412832927 | 30.146833197483723 | 49.563443439594536 |  29.32284014850106 |  48.61837474222366 | 29.322840148501058 | 48.614476898525496 | 30.146833197483716 |            0 |                    0.0 |    2 |        1.0 | Target[name=MS230428f, ra[deg]=49.0909, dec[deg]=29.7357 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (49.0909, 29.7357)> | 66334717b95942ef8fcf3ca082083dfa | 74.49022908847577 |      | 2023-04-27 17:39:20.861076 |     | -13.49 |
| MS230428f | 03:07:03 | 26:33:49 |    g,r | 120,120 |   5,5 |     1,1 |                    0.0 | 47598 |     False | 47598 | 46.7647 | 26.5639 |  47.22699118522598 | 26.975133375384278 |  47.22367908217854 |  26.15113870067449 |  46.30573268252737 |  26.15113870067449 |  46.30242057947993 | 26.975133375384278 |            0 |                    0.0 |    3 |        1.0 | Target[name=MS230428f, ra[deg]=46.7647, dec[deg]=26.5639 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (46.7647, 26.5639)> | 6c5eb2d00d2e4ce99351694df83b7d50 | 77.45772035802989 |      | 2023-04-27 17:30:04.962181 |     | -13.85 |
| MS230428f | 03:15:25 | 22:35:56 |    g,r | 120,120 |   5,5 |     1,1 |                    0.0 | 45525 |     False | 45525 | 48.8571 | 22.5991 |  49.30474728458958 |  23.01050051854609 |  49.30207582980086 |  22.18650420950067 |  48.41220988448488 | 22.186504209500672 | 48.409538429696156 |  23.01050051854609 |            0 |                    0.0 |    4 |        1.0 | Target[name=MS230428f, ra[deg]=48.8571, dec[deg]=22.5991 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (48.8571, 22.5991)> | 8928e46a8da040138add07d1506f40bf | 77.00803286350376 |      | 2023-04-27 17:38:21.511730 |     |  -10.3 |
| MS230428f | 03:09:28 | 23:23:31 |    g,r | 120,120 |   5,5 |     1,1 |                    0.0 | 45943 |     False | 45943 | 47.3684 | 23.3921 |  47.81871512060507 | 23.803427718976764 | 47.815922488641746 | 22.979431705267228 |  46.92091961662146 | 22.979431705267228 |  46.91812698465811 | 23.803427718976764 |            0 |                    0.0 |    5 |        1.0 | Target[name=MS230428f, ra[deg]=47.3684, dec[deg]=23.3921 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (47.3684, 23.3921)> | 0041e345734e4b2e934277ceac56c3e9 | 78.02476389076791 |      | 2023-04-27 17:32:27.634672 |     | -11.89 |
| MS230428f | 03:12:55 | 23:23:31 |    g,r | 120,120 |   5,5 |     1,1 |                    0.0 | 45944 |     False | 45944 | 48.2297 | 23.3921 |  48.67995913974382 | 23.803427718976764 | 48.677166507780484 | 22.979431705267228 |   47.7821636357602 | 22.979431705267228 | 47.779371003796854 | 23.803427718976764 |            0 |                    0.0 |    6 |        1.0 | Target[name=MS230428f, ra[deg]=48.2297, dec[deg]=23.3921 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (48.2297, 23.3921)> | 1b766412efa6411d8122a846d8ccc8f3 | 77.28195522711029 |      | 2023-04-27 17:35:52.626881 |     | -11.19 |
| MS230428f | 03:16:21 | 23:23:31 |    g,r | 120,120 |   5,5 |     1,1 |                    0.0 | 45945 |     False | 45945 | 49.0909 | 23.3921 | 49.541203158882574 | 23.803427718976767 | 49.538410526919236 |  22.97943170526723 | 48.643407654898944 | 22.979431705267228 | 48.640615022935606 | 23.803427718976767 |            0 |                    0.0 |    7 |        1.0 | Target[name=MS230428f, ra[deg]=49.0909, dec[deg]=23.3921 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (49.0909, 23.3921)> | 6af4f8065418481382bcc66140d65097 | 76.53791293204758 |      | 2023-04-27 17:39:17.538624 |     |  -10.5 |
| MS230428f | 03:10:23 | 24:11:06 |    g,r | 120,120 |   5,5 |     1,1 |                    0.0 | 46361 |     False | 46361 | 47.5962 |  24.185 |  48.04925737810283 | 24.596354620359214 | 48.046340293157705 |  23.77235891711499 |  47.14596739915002 |  23.77235891711499 |  47.14305031420489 | 24.596354620359214 |            0 |                    0.0 |    8 |        1.0 |  Target[name=MS230428f, ra[deg]=47.5962, dec[deg]=24.185 |  <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (47.5962, 24.185)> | 4fd55c281b21476b8d369985da9a4492 | 77.55730151398882 |      | 2023-04-27 17:33:22.197602 |     | -12.08 |
| MS230428f | 03:13:50 | 24:11:06 |    g,r | 120,120 |   5,5 |     1,1 |                    0.0 | 46362 |     False | 46362 | 48.4615 |  24.185 | 48.914641993487436 |  24.59635462035921 |  48.91172490854231 |  23.77235891711499 |  48.01135201453462 | 23.772358917114985 |   48.0084349295895 |  24.59635462035921 |            0 |                    0.0 |    9 |        1.0 |  Target[name=MS230428f, ra[deg]=48.4615, dec[deg]=24.185 |  <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (48.4615, 24.185)> | 14b15522bd3c4dbab31ce6aec94f94b4 | 76.81444145912747 |      | 2023-04-27 17:36:48.143337 |     | -11.38 |
| MS230428f | 03:17:18 | 24:11:06 |    g,r | 120,120 |   5,5 |     1,1 |                    0.0 | 46363 |     False | 46363 | 49.3269 |  24.185 | 49.780026608872056 | 24.596354620359214 |  49.77710952392693 | 23.772358917114985 | 48.876736629919236 |  23.77235891711499 |  48.87381954497412 | 24.596354620359214 |            0 |                    0.0 |   10 |        1.0 |  Target[name=MS230428f, ra[deg]=49.3269, dec[deg]=24.185 |  <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (49.3269, 24.185)> | 02b4e632e89149399bf9a6de1e0bf80f | 76.07014170965164 |      | 2023-04-27 17:40:14.133167 |     | -10.69 |
| MS230428f | 03:08:16 | 24:58:40 |    g,r | 120,120 |   5,5 |     1,1 |                    0.0 | 46776 |     False | 46776 | 47.0702 |  24.978 |   47.5262540806056 |  25.38928120753106 |  47.52320907200103 | 24.565285830496283 |  46.61722676335008 | 24.565285830496283 | 46.614181754745516 |  25.38928120753106 |            0 |                    0.0 |   11 |        1.0 |  Target[name=MS230428f, ra[deg]=47.0702, dec[deg]=24.978 |  <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (47.0702, 24.978)> | 84a803f6e18f424ca8514a5f3c36fda8 | 77.73679065574316 |      | 2023-04-27 17:31:17.204315 |     | -12.87 |
| MS230428f | 03:11:46 | 24:58:40 |    g,r | 120,120 |   5,5 |     1,1 |                    0.0 | 46777 |     False | 46777 | 47.9419 |  24.978 |  48.39792478278477 | 25.389281207531063 | 48.394879774180204 | 24.565285830496283 |  47.48889746552925 | 24.565285830496283 |  47.48585245692468 | 25.389281207531063 |            0 |                    0.0 |   12 |        1.0 |  Target[name=MS230428f, ra[deg]=47.9419, dec[deg]=24.978 |  <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (47.9419, 24.978)> | ba8e69fe8c2f46b5ae1c544f918a6674 | 76.99321835522149 |      | 2023-04-27 17:34:44.838313 |     | -12.17 |
| MS230428f | 03:18:44 | 24:58:40 |    g,r | 120,120 |   5,5 |     1,1 |                    0.0 | 46779 |     False | 46779 | 49.6852 |  24.978 | 50.141266187143124 | 25.389281207531063 |  50.13822117853856 | 24.565285830496286 |  49.23223886988761 | 24.565285830496286 |  49.22919386128304 | 25.389281207531063 |            0 |                    0.0 |   13 |        1.0 |  Target[name=MS230428f, ra[deg]=49.6852, dec[deg]=24.978 |  <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (49.6852, 24.978)> | b45da558ea9a4b4a99f07d529fc8d361 | 75.50192690047697 |      | 2023-04-27 17:41:39.923167 |     | -10.78 |
| MS230428f | 03:09:39 | 25:46:15 |    g,r | 120,120 |   5,5 |     1,1 |                    0.0 | 47189 |     False | 47189 | 47.4146 | 25.7709 |  47.87372964908381 | 26.182207464696873 | 47.870553040324765 | 25.358212430272744 |  46.95871525235817 | 25.358212430272744 | 46.955538643599134 | 26.182207464696873 |            0 |                    0.0 |   14 |        1.0 | Target[name=MS230428f, ra[deg]=47.4146, dec[deg]=25.7709 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (47.4146, 25.7709)> | ca090b30f629402ba5af93354dfaf6a1 | 77.17553764794874 |      | 2023-04-27 17:32:39.601615 |     | -12.97 |
| MS230428f | 03:13:10 | 25:46:15 |    g,r | 120,120 |   5,5 |     1,1 |                    0.0 | 47190 |     False | 47190 | 48.2927 | 25.7709 |  48.75177842957163 | 26.182207464696873 | 48.748601820812596 | 25.358212430272744 | 47.836764032845984 | 25.358212430272744 |  47.83358742408695 | 26.182207464696873 |            0 |                    0.0 |   15 |        1.0 | Target[name=MS230428f, ra[deg]=48.2927, dec[deg]=25.7709 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (48.2927, 25.7709)> | e78feeba5ed64815a5f9cacc1ff5dcd3 | 76.43003279336175 |      | 2023-04-27 17:36:08.709312 |     | -12.27 |
| MS230428f | 03:10:35 | 26:33:49 |    g,r | 120,120 |   5,5 |     1,1 |                    0.0 | 47599 |     False | 47599 | 47.6471 | 26.5639 |  48.10934412640245 |  26.97513337538428 | 48.106032023355006 |  26.15113870067449 |  47.18808562370384 | 26.151138700674494 |  47.18477352065641 |  26.97513337538428 |            0 |                    0.0 |   16 |        1.0 | Target[name=MS230428f, ra[deg]=47.6471, dec[deg]=26.5639 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (47.6471, 26.5639)> | f6ec84b5aecf4da084c9d17c038a3806 | 76.71395212919228 |      | 2023-04-27 17:33:35.331508 |     | -13.15 |
| MS230428f | 03:12:43 | 29:44:08 |    g,r | 120,120 |   5,5 |     1,1 |                    0.0 | 49212 |     False | 49212 | 48.1818 | 29.7357 |   48.6582503742018 | 30.146833197483716 |  48.65435253050364 |  29.32284014850105 |  47.70928383313276 | 29.322840148501058 | 47.705385989434596 | 30.146833197483723 |            0 |                    0.0 |   17 |        1.0 | Target[name=MS230428f, ra[deg]=48.1818, dec[deg]=29.7357 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (48.1818, 29.7357)> | 433e25f73b3b4bf98ce3ab18ab0c51ca | 75.24003456475971 |      | 2023-04-27 17:35:44.210592 |     |  -14.2 |
