|       obj |   ra_hms |  dec_dms | filter | exptime | count | binning |                 weight |  note | scheduled |   #id |       ra |     dec |                ra1 |                dec1 |                ra2 |                 dec2 |                ra3 |                 dec3 |                ra4 |                dec4 | n_hostgalaxy |      prob_vol_x_stmass | rank | confidence |                                                mainTarget |                                                                        FixedTarget |                               id |            moonsep |                    rise |                    transit |                     set | maxalt |
| MS230428j | 18:38:07 | 39:49:05 |    B,R | 180,180 |  5,10 |     1,1 |     1.6578038581652206 | 19704 |      True | 19704 | 279.5294 | 39.8182 | 280.30617979080836 |   40.40711430864758 |  280.2929232253533 |    39.22415812671683 |  278.7659003040584 |    39.22415812671683 |  278.7526437386033 |   40.40711430864758 |            9 |     1.6578038581652206 |    0 |        0.5 | Target[name=MS230428j, ra[deg]=279.5294, dec[deg]=39.8182 | <FixedTarget "MS230428j" at SkyCoord (ICRS): (ra, dec) in deg (279.5294, 39.8182)> | a3d262b9cb3b4ec3b00d27e8955fbd7f | 109.16636961106548 | 2023-04-28T14:23:04.562 | 2023-04-28 19:41:55.023239 | 2023-04-29T00:58:45.113 |  81.46 |
| MS230428j | 17:53:43 | 29:59:59 |    B,R | 180,180 |  5,10 |     1,1 |     1.4928142708038117 | 17260 |      True | 17260 | 268.4321 |    30.0 | 269.11914831402424 |  30.589726689460573 | 269.11100627245173 |   29.406747703114895 | 267.75310522580617 |   29.406747703114895 | 267.74496318423365 |  30.589726689460573 |            7 |     1.4928142708038117 |    1 |        0.5 |    Target[name=MS230428j, ra[deg]=268.4321, dec[deg]=30.0 |     <FixedTarget "MS230428j" at SkyCoord (ICRS): (ra, dec) in deg (268.4321, 30.)> | 0749f69457804be88c3eb575a392cbfd | 109.65262135041206 | 2023-04-28T14:03:39.212 | 2023-04-28 18:57:50.686908 | 2023-04-28T23:49:54.525 |  82.42 |
| MS230428j | 17:33:25 | 25:38:10 |    B,R | 180,180 |  5,10 |     1,1 |     1.2493031756847046 | 16088 |      True | 16088 | 263.3557 | 25.6364 |  264.0150523264354 |    26.2263911260268 | 264.00855130072915 |    25.04340564459259 |   262.702858095244 |   25.043405644592593 |  262.6963570695377 |    26.2263911260268 |           14 |     1.2493031756847046 |    2 |        0.5 | Target[name=MS230428j, ra[deg]=263.3557, dec[deg]=25.6364 | <FixedTarget "MS230428j" at SkyCoord (ICRS): (ra, dec) in deg (263.3557, 25.6364)> | ecc47a6bd6db4e07b70e71d52dfc696c | 108.71162435027489 | 2023-04-28T13:54:32.382 | 2023-04-28 18:36:05.913498 | 2023-04-28T23:18:36.318 |  78.05 |
| MS230428j | 17:25:32 | 23:27:16 |    B,R | 180,180 |  5,10 |     1,1 |     1.1969638566947296 | 15486 |      True | 15486 | 261.3861 | 23.4545 | 262.03380899817455 |  24.044714817982697 |  262.0280328790329 |   22.861726684934055 | 260.74424434868985 |    22.86172668493405 | 260.73846822954823 |  24.044714817982694 |            5 |     1.1969638566947296 |    3 |        0.5 | Target[name=MS230428j, ra[deg]=261.3861, dec[deg]=23.4545 | <FixedTarget "MS230428j" at SkyCoord (ICRS): (ra, dec) in deg (261.3861, 23.4545)> | 823dcb8ae38a4077a1d4ad157aeb1d4d | 108.44911254087751 | 2023-04-28T13:52:24.503 | 2023-04-28 18:28:49.383780 | 2023-04-28T23:05:04.504 |  75.86 |
| MS230428j | 17:56:06 | 33:16:21 |    B,R | 180,180 |  5,10 |     1,1 |     1.0822509515140923 | 18104 |     False | 18104 | 269.0253 | 33.2727 |  269.7375629990704 |   33.86221014379217 |  269.7279774659662 |    32.67923728887589 | 268.32256405027925 |    32.67923728887589 | 268.31297851717505 |   33.86221014379216 |            7 |     1.0822509515140923 |    4 |        0.5 | Target[name=MS230428j, ra[deg]=269.0253, dec[deg]=33.2727 | <FixedTarget "MS230428j" at SkyCoord (ICRS): (ra, dec) in deg (269.0253, 33.2727)> | b3b0a4d0eece42549794f62b1c05b864 | 107.93040946638077 | 2023-04-28T13:57:42.477 | 2023-04-28 19:00:44.833137 | 2023-04-29T00:00:27.300 |   85.7 |
| MS230428j | 18:18:56 | 36:32:43 |    B,R | 180,180 |  5,10 |     1,1 |     1.0276653940055747 | 18921 |     False | 18921 | 274.7368 | 36.5455 | 275.47876458840517 |  37.134674141698156 |  275.4674970182149 |    35.95170877419999 |  274.0061871923115 |    35.95170877419999 | 273.99491962212113 |  37.134674141698156 |            4 |     1.0276653940055747 |    5 |        0.5 | Target[name=MS230428j, ra[deg]=274.7368, dec[deg]=36.5455 | <FixedTarget "MS230428j" at SkyCoord (ICRS): (ra, dec) in deg (274.7368, 36.5455)> | d80cab4bf1dd48598a65886f9e9e4c70 | 109.09636159672736 | 2023-04-28T14:12:13.383 | 2023-04-28 19:19:31.953638 | 2023-04-29T00:31:27.865 |  85.28 |
| MS230428j | 17:54:51 | 32:10:54 |    B,R | 180,180 |  5,10 |     1,1 |      1.023804860421767 | 17826 |     False | 17826 | 268.7143 | 32.1818 | 269.41771907723296 |   32.77138429875684 |  269.4086383737566 |   31.588409263433437 | 268.01993305481477 |   31.588409263433444 | 268.01085235133843 |   32.77138429875684 |            9 |      1.023804860421767 |    6 |        0.5 | Target[name=MS230428j, ra[deg]=268.7143, dec[deg]=32.1818 | <FixedTarget "MS230428j" at SkyCoord (ICRS): (ra, dec) in deg (268.7143, 32.1818)> | 5f2a97c736f5479db942999f3b52898b | 108.43982585541706 | 2023-04-28T13:59:14.156 | 2023-04-28 18:59:20.856847 | 2023-04-28T23:56:28.272 |   84.6 |
| MS230428j | 16:45:21 | 05:59:59 |    B,R | 180,180 |  5,10 |     1,1 |     0.9804314932132856 | 10396 |      True | 10396 | 251.3415 |     6.0 | 251.93686738645317 |   6.591178748920799 | 251.93557667119674 |    5.408179445322053 |  250.7473501580715 |    5.408179445322053 | 250.74605944281512 |   6.591178748920799 |            8 |     0.9804314932132856 |    7 |        0.5 |     Target[name=MS230428j, ra[deg]=251.3415, dec[deg]=6.0 |      <FixedTarget "MS230428j" at SkyCoord (ICRS): (ra, dec) in deg (251.3415, 6.)> | cbd70a811020404dae010ff8f6405643 | 108.19874900736211 | 2023-04-28T14:04:04.168 | 2023-04-28 17:48:54.726039 | 2023-04-28T21:33:37.083 |  58.39 |
| MS230428j | 18:26:49 | 39:49:05 |    B,R | 180,180 |  5,10 |     1,1 |     0.9378919411996657 | 19702 |      True | 19702 | 276.7059 | 39.8182 | 277.48265037904366 |   40.40711430864758 |  277.4693938135886 |    39.22415812671683 |  275.9423708922937 |    39.22415812671683 |  275.9291143268386 |  40.407114308647586 |            8 |     0.9378919411996657 |    8 |        0.5 | Target[name=MS230428j, ra[deg]=276.7059, dec[deg]=39.8182 | <FixedTarget "MS230428j" at SkyCoord (ICRS): (ra, dec) in deg (276.7059, 39.8182)> | fd95914edcdd4c99a8606e3495a32b54 | 107.75517862139594 | 2023-04-28T14:11:50.009 | 2023-04-28 19:31:48.634494 | 2023-04-29T00:47:28.498 |  83.56 |
| MS230428j | 18:20:50 | 38:43:38 |    B,R | 180,180 |  5,10 |     1,1 |     0.8506376960111498 | 19445 |     False | 19445 | 275.2124 | 38.7273 |  275.9768713650695 |   39.31630388169441 |  275.9643170185918 |   38.133344423442075 |  274.4603934061186 |   38.133344423442075 |  274.4478390596409 |   39.31630388169441 |            5 |     0.8506376960111498 |    9 |        0.5 | Target[name=MS230428j, ra[deg]=275.2124, dec[deg]=38.7273 | <FixedTarget "MS230428j" at SkyCoord (ICRS): (ra, dec) in deg (275.2124, 38.7273)> | 224208cd97a44c0e9e1aeecb01f82ca4 |  107.7782580404466 | 2023-04-28T14:08:37.041 | 2023-04-28 19:22:22.822717 | 2023-04-29T00:38:47.057 |  84.95 |
| MS230428j | 18:13:32 | 36:32:43 |    B,R | 180,180 |  5,10 |     1,1 |     0.8221999901358172 | 18920 |     False | 18920 | 273.3835 | 36.5455 | 274.12538112975864 |   37.13467414169815 |  274.1141135595683 |    35.95170877419999 | 272.65280373366494 |    35.95170877419999 |  272.6415361634746 |   37.13467414169815 |            7 |     0.8221999901358172 |   10 |        0.5 | Target[name=MS230428j, ra[deg]=273.3835, dec[deg]=36.5455 | <FixedTarget "MS230428j" at SkyCoord (ICRS): (ra, dec) in deg (273.3835, 36.5455)> | 0335a0abda8f4f07b9d8b342418ab9da | 108.33236224131072 | 2023-04-28T14:06:50.148 | 2023-04-28 19:13:28.869870 | 2023-04-29T00:26:03.546 |  86.33 |
| MS230428j | 18:20:31 | 37:38:10 |    B,R | 180,180 |  5,10 |     1,1 |     0.7677992514401429 | 19185 |     False | 19185 | 275.1331 | 37.6364 |  275.8859932669425 |   38.22549042480764 | 275.87410079113477 |   37.042527910403436 |  274.3920589046827 |    37.04252791040344 |   274.380166428875 |   38.22549042480764 |            7 |     0.7677992514401429 |   11 |        0.5 | Target[name=MS230428j, ra[deg]=275.1331, dec[deg]=37.6364 | <FixedTarget "MS230428j" at SkyCoord (ICRS): (ra, dec) in deg (275.1331, 37.6364)> | c822ae51893642bb83d2c86838d3c5cd |  108.5282518603658 | 2023-04-28T14:11:02.981 | 2023-04-28 19:21:47.860002 | 2023-04-29T00:35:45.440 |  85.11 |
| MS230428j | 17:17:55 | 21:16:21 |    B,R | 180,180 |  5,10 |     1,1 |     0.7186800008848993 | 14874 |     False | 14874 | 259.4805 | 21.2727 | 260.11782689979486 |  21.863033767531228 |  260.1127242474283 |   20.680043323366277 |  258.8483147136106 |   20.680043323366277 |   258.843212061244 |  21.863033767531228 |           15 |     0.7186800008848993 |   12 |        0.5 | Target[name=MS230428j, ra[deg]=259.4805, dec[deg]=21.2727 | <FixedTarget "MS230428j" at SkyCoord (ICRS): (ra, dec) in deg (259.4805, 21.2727)> | bd6f8c7a20f843dc91da1b32aef76972 | 108.12783098147305 | 2023-04-28T13:50:38.992 | 2023-04-28 18:21:31.001205 | 2023-04-28T22:51:40.661 |  73.68 |
| MS230428j | 18:32:28 | 39:49:05 |    B,R | 180,180 |  5,10 |     1,1 |     0.6642412163405261 | 19703 |     False | 19703 | 278.1176 | 39.8182 | 278.89441508492604 |   40.40711430864758 |   278.881158519471 |    39.22415812671683 |   277.354135598176 |    39.22415812671683 |  277.3408790327209 |   40.40711430864758 |            5 |     0.6642412163405261 |   13 |        0.5 | Target[name=MS230428j, ra[deg]=278.1176, dec[deg]=39.8182 | <FixedTarget "MS230428j" at SkyCoord (ICRS): (ra, dec) in deg (278.1176, 39.8182)> | 78fb226412274a28a0f904dd264e2dc2 | 108.46921891065364 | 2023-04-28T14:17:27.549 | 2023-04-28 19:37:40.435805 | 2023-04-29T00:53:06.915 |  82.52 |
| MS230428j | 18:02:37 | 34:21:49 |    B,R | 180,180 |  5,10 |     1,1 |     0.6386499197273887 | 18380 |     False | 18380 | 270.6569 | 34.3636 | 271.37857630345155 |  34.953033834005176 | 271.36845957137234 |    33.77006330944716 |  269.9454090417663 |    33.77006330944716 | 269.93529230968704 |  34.953033834005176 |            4 |     0.6386499197273887 |   14 |        0.9 | Target[name=MS230428j, ra[deg]=270.6569, dec[deg]=34.3636 | <FixedTarget "MS230428j" at SkyCoord (ICRS): (ra, dec) in deg (270.6569, 34.3636)> | 4f9b866c76a0450894ecec06ef573fca |  108.2235984678696 | 2023-04-28T14:01:27.538 | 2023-04-28 19:05:59.753416 | 2023-04-29T00:09:43.029 |  86.51 |
| MS230428j | 18:31:58 | 38:43:38 |    B,R | 180,180 |  5,10 |     1,1 |     0.6000904475238173 | 19447 |     False | 19447 | 277.9923 | 38.7273 |  278.7567941449922 |   39.31630388169441 | 278.74423979851457 |   38.133344423442075 | 277.24031618604135 |   38.133344423442075 |  277.2277618395637 |   39.31630388169441 |            8 |     0.6000904475238173 |   15 |        0.9 | Target[name=MS230428j, ra[deg]=277.9923, dec[deg]=38.7273 | <FixedTarget "MS230428j" at SkyCoord (ICRS): (ra, dec) in deg (277.9923, 38.7273)> | b306f11bd7dd4c94831def9d901f3813 | 109.23192946728301 | 2023-04-28T14:19:42.120 | 2023-04-28 19:37:39.090650 | 2023-04-29T00:49:53.629 |  82.81 |
| MS230428j | 17:57:22 | 34:21:49 |    B,R | 180,180 |  5,10 |     1,1 |     0.5979392012825824 | 18379 |     False | 18379 | 269.3431 | 34.3636 |  270.0647076903129 |  34.953033834005176 |  270.0545909582337 |    33.77006330944716 | 268.63154042862766 |    33.77006330944716 |  268.6214236965484 |  34.953033834005176 |            2 |     0.5979392012825824 |   16 |        0.9 | Target[name=MS230428j, ra[deg]=269.3431, dec[deg]=34.3636 | <FixedTarget "MS230428j" at SkyCoord (ICRS): (ra, dec) in deg (269.3431, 34.3636)> | 40203b6627d642528d7567ee76764282 | 107.41418313817924 | 2023-04-28T13:56:13.022 | 2023-04-28 19:02:06.870351 | 2023-04-29T00:04:27.479 |  86.78 |
