#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
37048,294.545,6.740,294.961,7.152,294.960,6.328,294.131,6.328,294.130,7.152,7,0.714,0,0.5,MS230428o,37048,0.714
36597,294.690,5.947,295.105,6.359,295.104,5.535,294.276,5.535,294.276,6.359,1,0.382,1,0.5,MS230428o,36597,0.382
32056,289.427,-1.982,289.839,-1.570,289.840,-2.394,289.015,-2.394,289.015,-1.570,2,0.352,2,0.5,MS230428o,32056,0.352
46658,304.615,24.185,305.068,24.596,305.066,23.772,304.165,23.772,304.162,24.596,3,0.305,3,0.5,MS230428o,46658,0.305
48297,305.778,27.357,306.243,27.768,306.240,26.944,305.316,26.944,305.312,27.768,1,0.292,4,0.5,MS230428o,48297,0.292
47485,307.317,25.771,307.776,26.182,307.773,25.358,306.861,25.358,306.858,26.182,5,0.222,5,0.5,MS230428o,47485,0.222
37950,295.200,8.326,295.617,8.738,295.616,7.914,294.784,7.914,294.783,8.738,3,0.204,6,0.9,MS230428o,37950,0.204
33420,291.013,0.396,291.425,0.808,291.425,-0.016,290.601,-0.016,290.601,0.808,1,0.145,7,0.9,MS230428o,33420,0.145
46659,305.481,24.185,305.934,24.596,305.931,23.772,305.031,23.772,305.028,24.596,1,0.130,8,0.9,MS230428o,46659,0.130
41517,300.273,14.670,300.699,15.081,300.698,14.257,299.848,14.257,299.846,15.081,1,0.115,9,0.9,MS230428o,41517,0.115
47072,305.085,24.978,305.541,25.389,305.538,24.565,304.632,24.565,304.629,25.389,2,0.108,10,0.9,MS230428o,47072,0.108
49499,309.091,29.736,309.567,30.147,309.563,29.323,308.618,29.323,308.614,30.147,7,0.106,11,0.9,MS230428o,49499,0.106
46241,304.019,23.392,304.469,23.803,304.467,22.979,303.572,22.979,303.569,23.803,1,0.104,12,0.9,MS230428o,46241,0.104
37499,294.545,7.533,294.961,7.945,294.961,7.121,294.130,7.121,294.129,7.945,2,0.091,13,0.9,MS230428o,37499,0.091
48299,307.556,27.357,308.021,27.768,308.018,26.944,307.093,26.944,307.090,27.768,4,0.082,14,0.9,MS230428o,48299,0.082
43264,302.633,17.841,303.067,18.253,303.065,17.429,302.201,17.429,302.199,18.253,2,0.082,15,0.9,MS230428o,43264,0.082
34782,291.013,2.775,291.426,3.187,291.426,2.363,290.601,2.363,290.601,3.187,2,0.078,16,0.9,MS230428o,34782,0.078
49100,306.767,28.943,307.240,29.354,307.236,28.530,306.298,28.530,306.294,29.354,4,0.077,17,0.9,MS230428o,49100,0.077
49101,307.669,28.943,308.142,29.354,308.138,28.530,307.200,28.530,307.196,29.354,3,0.069,18,0.9,MS230428o,49101,0.069
31147,288.477,-3.568,288.889,-3.156,288.890,-3.980,288.064,-3.980,288.064,-3.156,1,0.062,19,0.9,MS230428o,31147,0.062
48700,306.269,28.150,306.738,28.561,306.734,27.737,305.803,27.737,305.800,28.561,4,0.052,20,0.9,MS230428o,48700,0.052
33876,292.599,1.189,293.011,1.601,293.011,0.777,292.187,0.777,292.187,1.601,1,0.049,21,0.9,MS230428o,33876,0.049
38852,298.929,9.912,299.347,10.324,299.346,9.500,298.511,9.500,298.510,10.324,1,0.046,22,0.9,MS230428o,38852,0.046
40190,299.189,12.291,299.612,12.702,299.610,11.878,298.768,11.878,298.767,12.702,1,0.044,23,0.9,MS230428o,40190,0.044
37049,295.344,6.740,295.759,7.152,295.758,6.328,294.929,6.328,294.928,7.152,1,0.040,24,0.9,MS230428o,37049,0.040
39298,297.987,10.705,298.406,11.117,298.405,10.293,297.568,10.293,297.567,11.117,1,0.038,25,0.9,MS230428o,39298,0.038
48701,307.164,28.150,307.633,28.561,307.630,27.737,306.699,27.737,306.695,28.561,4,0.035,26,0.9,MS230428o,48701,0.035
46243,305.742,23.392,306.192,23.803,306.189,22.979,305.294,22.979,305.291,23.803,1,0.034,27,0.9,MS230428o,46243,0.034
43692,299.861,18.634,300.297,19.046,300.295,18.222,299.427,18.222,299.425,19.046,1,0.034,28,0.9,MS230428o,43692,0.034
45402,303.830,21.806,304.275,22.218,304.272,21.394,303.387,21.394,303.385,22.218,3,0.032,29,0.9,MS230428o,45402,0.032
46242,304.880,23.392,305.331,23.803,305.328,22.979,304.433,22.979,304.430,23.803,3,0.030,30,0.9,MS230428o,46242,0.030
