|       obj |   ra_hms |   dec_dms | filter | exptime | count | binning |                 weight |  note | scheduled |   #id |       ra |      dec |                ra1 |                 dec1 |                ra2 |                  dec2 |                ra3 |                  dec3 |                ra4 |                 dec4 | n_hostgalaxy |      prob_vol_x_stmass | rank | confidence |                                                 mainTarget |                                                                         FixedTarget |                               id |            moonsep |                    rise |                    transit |                     set | maxalt |
| MS230428r | 23:40:28 |  26:43:38 |    B,R | 180,180 |  5,10 |     1,1 |     11.857506973406164 | 16459 |     False | 16459 | 355.1186 |  26.7273 |  355.7843560198013 |   27.317227290829493 |  355.7774705413253 |     26.13424327525489 |  354.4598175942678 |    26.134243275254885 | 354.45293211579184 |   27.317227290829493 |          163 |     11.857506973406164 |    0 |        0.5 |  Target[name=MS230428r, ra[deg]=355.1186, dec[deg]=26.7273 |  <FixedTarget "MS230428r" at SkyCoord (ICRS): (ra, dec) in deg (355.1186, 26.7273)> | 67a51a7a8d624e649717845195dde1f5 | 121.41746156667894 |                         | 2023-04-29 00:42:28.571773 |                         |  18.77 |
| MS230428r | 23:23:53 |  14:43:38 |    B,R | 180,180 |  5,10 |     1,1 |      5.486284144255029 | 13074 |     False | 13074 | 350.9718 |  14.7273 |  351.5850422319037 |   15.317968003614364 | 351.58172293120936 |    14.134972359221205 |  350.3618507365023 |    14.134972359221205 | 350.35853143580795 |   15.317968003614364 |          200 |      5.486284144255029 |    1 |        0.5 |  Target[name=MS230428r, ra[deg]=350.9718, dec[deg]=14.7273 |  <FixedTarget "MS230428r" at SkyCoord (ICRS): (ra, dec) in deg (350.9718, 14.7273)> | 0c8a97d7f2ce480d8aeee16023d5c236 | 133.02702703473926 |                         | 2023-04-29 00:26:28.159883 |                         |  15.17 |
| MS230428r | 23:45:15 |  27:49:05 |    B,R | 180,180 |  5,10 |     1,1 |      5.126686770123074 | 16753 |     False | 16753 |  356.314 |  27.8182 |   356.986439625489 |   28.408062006873955 | 356.97915340754935 |    27.225079558088606 |  355.6488329405736 |    27.225079558088606 |  355.6415467226339 |   28.408062006873955 |           80 |      5.126686770123074 |    2 |        0.5 |   Target[name=MS230428r, ra[deg]=356.314, dec[deg]=27.8182 |   <FixedTarget "MS230428r" at SkyCoord (ICRS): (ra, dec) in deg (356.314, 27.8182)> | 13b0aa870f494da8887527f7e0ec547e |  119.8985002800193 |                         | 2023-04-29 00:46:50.173573 |                         |  18.48 |
| MS230428r | 23:40:20 |  27:49:05 |    B,R | 180,180 |  5,10 |     1,1 |      4.414415767376213 | 16752 |     False | 16752 | 355.0853 |  27.8182 | 355.75777068350953 |    28.40806200687396 |  355.7504844655699 |    27.225079558088606 | 354.42016399859415 |    27.225079558088606 |  354.4128777806544 |   28.408062006873955 |           82 |      4.414415767376213 |    3 |        0.5 |  Target[name=MS230428r, ra[deg]=355.0853, dec[deg]=27.8182 |  <FixedTarget "MS230428r" at SkyCoord (ICRS): (ra, dec) in deg (355.0853, 27.8182)> | 12442a479cd94fbb95df49ff52e77d9e | 120.59681347470847 |                         | 2023-04-29 00:42:18.221316 |                         |  19.39 |
| MS230428r | 23:45:06 |  28:54:32 |    B,R | 180,180 |  5,10 |     1,1 |     3.5545754235396654 | 17043 |     False | 17043 | 356.2759 |  28.9091 |  356.9554295052035 |   29.498895174969892 | 356.94772491883964 |      28.3159144002657 | 355.60399921909135 |    28.315914400265704 | 355.59629463272756 |   29.498895174969892 |           66 |     3.5545754235396654 |    4 |        0.5 |  Target[name=MS230428r, ra[deg]=356.2759, dec[deg]=28.9091 |  <FixedTarget "MS230428r" at SkyCoord (ICRS): (ra, dec) in deg (356.2759, 28.9091)> | ff0819b0bac5481fa2f296b47088095c | 119.08821391935076 |                         | 2023-04-29 00:46:34.014819 |                         |  19.11 |
| MS230428r | 23:50:10 |  27:49:05 |    B,R | 180,180 |  5,10 |     1,1 |       3.05215411212652 | 16754 |     False | 16754 | 357.5427 |  27.8182 |  358.2151085674685 |   28.408062006873955 | 358.20782234952884 |    27.225079558088602 |  356.8775018825531 |    27.225079558088602 |  356.8702156646134 |    28.40806200687395 |           59 |       3.05215411212652 |    5 |        0.5 |  Target[name=MS230428r, ra[deg]=357.5427, dec[deg]=27.8182 |  <FixedTarget "MS230428r" at SkyCoord (ICRS): (ra, dec) in deg (357.5427, 27.8182)> | 184b488718fc482cb114fd9ba6696f11 |   119.185070016763 |                         | 2023-04-29 00:51:45.613612 |                         |  17.58 |
| MS230428r | 23:50:14 |  26:43:38 |    B,R | 180,180 |  5,10 |     1,1 |     2.9276582284910306 | 16461 |     False | 16461 | 357.5593 |  26.7273 | 358.22503398590305 |   27.317227290829493 | 358.21814850742703 |    26.134243275254885 | 356.90049556036956 |    26.134243275254885 | 356.89361008189354 |   27.317227290829493 |           50 |     2.9276582284910306 |    6 |        0.5 |  Target[name=MS230428r, ra[deg]=357.5593, dec[deg]=26.7273 |  <FixedTarget "MS230428r" at SkyCoord (ICRS): (ra, dec) in deg (357.5593, 26.7273)> | cea1042e52bc41baaaf6135c08ac75e9 | 119.98887870676025 |                         | 2023-04-29 00:51:55.836731 |                         |  16.96 |
| MS230428r | 23:23:32 |  16:54:32 |    B,R | 180,180 |  5,10 |     1,1 |      2.719008137294595 | 13708 |     False | 13708 | 350.8861 |  16.9091 | 351.50624781027057 |    17.49965983184298 |  351.5023673178351 |    16.316665657667023 | 350.26978458089906 |    16.316665657667023 |  350.2659040884636 |    17.49965983184298 |           99 |      2.719008137294595 |    7 |        0.5 |  Target[name=MS230428r, ra[deg]=350.8861, dec[deg]=16.9091 |  <FixedTarget "MS230428r" at SkyCoord (ICRS): (ra, dec) in deg (350.8861, 16.9091)> | b0695b13131c43ffb6d97d2704af02a8 | 131.44764650389487 |                         | 2023-04-29 00:26:09.198006 |                         |   16.5 |
| MS230428r | 23:40:40 |  25:38:10 |    B,R | 180,180 |  5,10 |     1,1 |      2.685343418998024 | 16164 |     False | 16164 | 355.1678 |  25.6364 | 355.82713286334814 |     26.2263911260268 | 355.82063183764194 |     25.04340564459259 |  354.5149386321567 |     25.04340564459259 |  354.5084376064505 |     26.2263911260268 |           58 |      2.685343418998024 |    8 |        0.5 |  Target[name=MS230428r, ra[deg]=355.1678, dec[deg]=25.6364 |  <FixedTarget "MS230428r" at SkyCoord (ICRS): (ra, dec) in deg (355.1678, 25.6364)> | f8e2af5c70264bc8af12d8f1a6892779 | 122.22288432855812 |                         | 2023-04-29 00:42:42.092963 |                         |  18.13 |
| MS230428r | 00:39:16 |  48:32:43 |    B,R | 180,180 |  5,10 |     1,1 |      2.644568776951859 | 21435 |     False | 21435 |   9.8182 |  48.5455 | 10.722175582520428 |    49.13345727325348 |  10.70129052738497 |     47.95053807217955 |  8.935073108978672 |     47.95053807217955 |  8.914188053843214 |    49.13345727325347 |           77 |      2.644568776951859 |    9 |        0.5 |    Target[name=MS230428r, ra[deg]=9.8182, dec[deg]=48.5455 |    <FixedTarget "MS230428r" at SkyCoord (ICRS): (ra, dec) in deg (9.8182, 48.5455)> | d2f7b222e75b44b0bc945b3732ad322a |  97.59663543101847 |                         | 2023-04-29 01:42:04.109249 |                         |  20.99 |
