#	Observing Date = 2023-04-29
#	Observatory = SAO
#	-18 deg sunset = 20:55
#	-18 deg sunrise = 04:03
#	Moon ra, dec = 9:20:30.43   20:56:55.96
#	Moon phase = 0.57
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|      name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) |              weight |    note |
| MS230428r | 05:15:47 |  71:27:33 |    08:16 |       15:26 |   22:36 |             61 | 0.23773856482697842 |   86976 |
| MS230428r | 07:33:04 |  65:04:44 |    11:08 |       17:43 |   00:17 |             47 |  0.4007577911128878 | 1025015 |
| MS230428r | 07:33:47 |  65:26:45 |    11:07 |       17:43 |   00:19 |             48 | 0.14189002819285734 | 1030971 |
| MS230428r | 07:35:07 |  65:00:32 |    11:11 |       17:45 |   00:19 |             47 | 0.15606285674728126 | 1030360 |
| MS230428r | 08:20:01 |  62:49:49 |    12:04 |       18:29 |   00:54 |             43 | 0.16139483105310215 | 1026623 |
| MS230428r | 08:29:10 |  63:20:16 |    12:11 |       18:38 |   01:05 |             43 |  0.1544979220595983 | 1025854 |
| MS230428r | 12:29:59 | -14:37:20 |    20:33 |       22:38 |   00:42 |             58 | 0.20364005569470034 | 1155418 |
| MS230428r | 12:37:45 | -14:38:23 |    20:41 |       22:46 |   00:50 |             60 |  0.1727843882603389 | 1161046 |
| MS230428r | 12:39:06 | -16:10:47 |    20:54 |       22:47 |   00:40 |             61 | 0.19813644549657253 | 1157898 |
| MS230428r | 12:42:12 | -17:24:12 |    21:09 |       22:50 |   00:31 |             62 | 0.23645027491678122 | 1153270 |
| MS230428r | 12:43:52 | -17:10:10 |    21:09 |       22:52 |   00:35 |             63 |  0.1616901425687947 | 1157429 |
| MS230428r | 12:44:14 | -16:18:33 |    21:00 |       22:52 |   00:44 |             62 |   0.139792439969264 | 1156369 |
| MS230428r | 12:49:28 | -20:52:12 |    22:03 |       22:57 |   23:52 |             66 | 0.19181593490371143 | 1163381 |
| MS230428r | 12:51:38 | -19:52:43 |    21:47 |       22:59 |   00:12 |             66 |  0.3942560576515353 | 1153183 |
==============================================================================================================
