#	Observing Date = 2023-04-29
#	Observatory = SAO
#	-18 deg sunset = 20:55
#	-18 deg sunrise = 04:03
#	Moon ra, dec = 9:20:30.42   20:56:56.02
#	Moon phase = 0.57
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|      name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) |               weight |    note |
| MS230428s | 12:03:13 |  01:57:02 |    18:41 |       22:11 |   01:41 |             44 |  0.05328958050005174 | 1026910 |
| MS230428s | 12:03:49 |  03:32:53 |    18:36 |       22:12 |   01:48 |             43 |  0.05693512803582513 | 1025448 |
| MS230428s | 12:04:27 |  01:53:45 |    18:43 |       22:12 |   01:42 |             44 |  0.09039742874961759 | 1024584 |
| MS230428s | 12:25:31 |  -7:14:11 |    19:43 |       22:33 |   01:23 |             53 |  0.06789074744821316 | 1155411 |
| MS230428s | 12:26:12 |  -7:41:05 |    19:46 |       22:34 |   01:22 |             54 |    0.078917144075866 | 1261516 |
| MS230428s | 12:26:16 |  -7:40:50 |    19:46 |       22:34 |   01:22 |             54 |   0.1614805607763679 | 1152331 |
| MS230428s | 12:28:45 |  -8:38:32 |    19:54 |       22:37 |   01:19 |             55 | 0.058797930472220435 | 1159327 |
| MS230428s | 12:30:16 |  -8:23:49 |    19:54 |       22:38 |   01:22 |             55 |  0.06289328335344553 | 1324669 |
| MS230428s | 12:45:41 | -10:43:01 |    20:22 |       22:53 |   01:25 |             59 |  0.05108531777725498 | 1153436 |
| MS230428s | 12:47:16 | -18:33:15 |    21:27 |       22:55 |   00:23 |             64 |   0.0613254178570505 | 1161529 |
| MS230428s | 12:50:19 | -13:19:27 |    20:44 |       22:58 |   01:12 |             62 |  0.06492778551268022 | 1151266 |
| MS230428s | 12:51:34 | -20:42:30 |    22:02 |       22:59 |   23:57 |             66 |   0.0560420794770544 | 1156603 |
| MS230428s | 12:52:27 | -15:31:07 |    21:02 |       23:00 |   00:58 |             63 |  0.09486560270233423 | 1153027 |
| MS230428s | 12:56:56 | -20:28:18 |    22:03 |       23:05 |   00:07 |             67 |  0.19388297388009212 | 1154523 |
| MS230428s | 12:56:59 | -20:33:59 |    22:05 |       23:05 |   00:05 |             67 |  0.08129238418712513 | 2015264 |
| MS230428s | 12:57:00 | -20:28:51 |    22:03 |       23:05 |   00:07 |             67 |  0.38799805115793007 | 1152406 |
| MS230428s | 12:57:02 | -20:30:17 |    22:04 |       23:05 |   00:06 |             67 |   0.2289179539342726 | 1152946 |
| MS230428s | 12:57:20 | -20:39:24 |    22:07 |       23:05 |   00:04 |             67 |   0.0751665900382965 | 1171006 |
| MS230428s | 12:59:34 | -21:05:47 |    22:17 |       23:07 |   23:57 |             68 |  0.08429454988749242 | 1155943 |
| MS230428s | 13:06:56 | -20:14:52 |    22:09 |       23:15 |   00:21 |             69 | 0.055553905998611604 | 1159318 |
| MS230428s | 13:11:04 | -21:41:13 |    22:40 |       23:19 |   23:58 |             70 |  0.09326934113308644 | 1154833 |
==============================================================================================================
