#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
22753,139.476,55.091,140.525,55.678,140.495,54.495,138.458,54.495,138.427,55.678,105,5.632,0,0.5,MS230429c,22753,5.632
21731,136.667,49.636,137.591,50.224,137.569,49.041,135.764,49.041,135.742,50.224,89,4.596,1,0.5,MS230429c,21731,4.596
22754,141.361,55.091,142.410,55.678,142.380,54.495,140.343,54.495,140.312,55.678,80,3.334,2,0.5,MS230429c,22754,3.334
17147,126.690,30.000,127.377,30.590,127.369,29.407,126.011,29.407,126.003,30.590,121,3.331,3,0.5,MS230429c,17147,3.331
21945,136.493,50.727,137.439,51.315,137.416,50.132,135.570,50.132,135.547,51.315,73,2.366,4,0.5,MS230429c,21945,2.366
19853,131.952,40.909,132.742,41.498,132.728,40.315,131.176,40.315,131.162,41.498,45,2.216,5,0.5,MS230429c,19853,2.216
25136,169.412,72.545,171.450,73.127,171.320,71.945,167.503,71.945,167.374,73.127,39,2.056,6,0.5,MS230429c,25136,2.056
22359,137.910,52.909,138.905,53.496,138.878,52.314,136.943,52.314,136.916,53.496,47,2.042,7,0.5,MS230429c,22359,2.042
22360,139.701,52.909,140.696,53.496,140.669,52.314,138.734,52.314,138.707,53.496,74,1.950,8,0.5,MS230429c,22360,1.950
23481,144.000,59.455,145.184,60.041,145.144,58.858,142.856,58.858,142.816,60.041,38,1.842,9,0.5,MS230429c,23481,1.842
21730,135.000,49.636,135.925,50.224,135.902,49.041,134.098,49.041,134.075,50.224,56,1.766,10,0.5,MS230429c,21730,1.766
22943,141.290,56.182,142.370,56.769,142.337,55.586,140.244,55.586,140.211,56.769,56,1.720,11,0.5,MS230429c,22943,1.720
19852,130.518,40.909,131.308,41.498,131.294,40.315,129.742,40.315,129.728,41.498,53,1.690,12,0.5,MS230429c,19852,1.690
25134,162.353,72.545,164.391,73.127,164.262,71.945,160.444,71.945,160.315,73.127,44,1.589,13,0.5,MS230429c,25134,1.589
22154,136.311,51.818,137.280,52.406,137.255,51.223,135.366,51.223,135.341,52.406,77,1.585,14,0.5,MS230429c,22154,1.585
24916,157.895,70.364,159.707,70.946,159.605,69.764,156.185,69.764,156.083,70.946,31,1.559,15,0.5,MS230429c,24916,1.559
22155,138.058,51.818,139.028,52.406,139.003,51.223,137.114,51.223,137.089,52.406,38,1.536,16,0.5,MS230429c,22155,1.536
24798,156.000,69.273,157.718,69.856,157.627,68.673,154.373,68.673,154.282,69.856,32,1.512,17,0.5,MS230429c,24798,1.512
24917,161.053,70.364,162.865,70.946,162.763,69.764,159.342,69.764,159.241,70.946,30,1.375,18,0.5,MS230429c,24917,1.375
21732,138.333,49.636,139.258,50.224,139.236,49.041,137.431,49.041,137.409,50.224,65,1.309,19,0.5,MS230429c,21732,1.309
24915,154.737,70.364,156.549,70.946,156.447,69.764,153.027,69.764,152.925,70.946,20,1.291,20,0.5,MS230429c,24915,1.291
24799,159.000,69.273,160.718,69.856,160.627,68.673,157.373,68.673,157.282,69.856,28,1.261,21,0.5,MS230429c,24799,1.261
20347,130.370,43.091,131.188,43.680,131.173,42.497,129.568,42.497,129.553,43.680,42,1.254,22,0.5,MS230429c,20347,1.254
23812,144.906,61.636,146.175,62.222,146.127,61.039,143.684,61.039,143.636,62.222,13,1.249,23,0.5,MS230429c,23812,1.249
24410,152.409,66.000,153.897,66.584,153.830,65.402,150.988,65.402,150.920,66.584,32,1.246,24,0.5,MS230429c,24410,1.246
24800,162.000,69.273,163.718,69.856,163.627,68.673,160.373,68.673,160.282,69.856,30,1.228,25,0.5,MS230429c,24800,1.228
14447,121.935,20.182,122.568,20.772,122.563,19.589,121.308,19.589,121.303,20.772,41,1.226,26,0.5,MS230429c,14447,1.226
19340,129.266,38.727,130.031,39.316,130.018,38.133,128.514,38.133,128.502,39.316,44,1.212,27,0.5,MS230429c,19340,1.212
25029,163.333,71.455,165.251,72.037,165.137,70.854,161.530,70.854,161.415,72.037,34,1.210,28,0.5,MS230429c,25029,1.210
24675,157.143,68.182,158.776,68.765,158.694,67.583,155.592,67.583,155.510,68.765,24,1.166,29,0.5,MS230429c,24675,1.166
25133,158.824,72.545,160.862,73.127,160.732,71.945,156.915,71.945,156.785,73.127,33,1.146,30,0.5,MS230429c,25133,1.146
21512,135.818,48.545,136.722,49.133,136.701,47.951,134.935,47.951,134.914,49.133,34,1.143,31,0.5,MS230429c,21512,1.143
17434,128.028,31.091,128.723,31.681,128.715,30.498,127.342,30.498,127.333,31.681,59,1.140,32,0.5,MS230429c,17434,1.140
17433,126.761,31.091,127.456,31.681,127.447,30.498,126.074,30.498,126.066,31.681,49,1.133,33,0.5,MS230429c,17433,1.133
21729,133.333,49.636,134.258,50.224,134.236,49.041,132.431,49.041,132.409,50.224,52,1.075,34,0.5,MS230429c,21729,1.075
20589,131.597,44.182,132.430,44.770,132.413,43.587,130.780,43.587,130.763,44.770,53,1.034,35,0.5,MS230429c,20589,1.034
21058,131.478,46.364,132.345,46.952,132.326,45.769,130.630,45.769,130.612,46.952,32,1.017,36,0.5,MS230429c,21058,1.017
21946,138.199,50.727,139.145,51.315,139.122,50.132,137.276,50.132,137.253,51.315,46,0.997,37,0.5,MS230429c,21946,0.997
24546,156.641,67.091,158.198,67.675,158.124,66.492,155.158,66.492,155.084,67.675,19,0.991,38,0.5,MS230429c,24546,0.991
20348,131.852,43.091,132.670,43.680,132.654,42.497,131.050,42.497,131.034,43.680,42,0.988,39,0.5,MS230429c,20348,0.988
21061,136.174,46.364,137.040,46.952,137.022,45.769,135.326,45.769,135.307,46.952,34,0.964,40,0.5,MS230429c,21061,0.964
23307,143.182,58.364,144.329,58.950,144.291,57.767,142.073,57.767,142.035,58.950,32,0.945,41,0.5,MS230429c,23307,0.945
22752,137.592,55.091,138.641,55.678,138.610,54.495,136.573,54.495,136.543,55.678,49,0.942,42,0.5,MS230429c,22752,0.942
