|       obj |   ra_hms |   dec_dms | filter | exptime | count | binning |                 weight |  note | scheduled |   #id |       ra |      dec |                ra1 |                dec1 |                ra2 |                dec2 |                ra3 |                dec3 |                ra4 |                dec4 | n_hostgalaxy |      prob_vol_x_stmass | rank | confidence |                                                 mainTarget |                                                                         FixedTarget |                               id |            moonsep |                    rise |                    transit |                     set | maxalt |
| MS230429e | 13:55:48 |  64:54:32 |    B,R | 180,180 |  5,10 |     1,1 |     1.8025262650952387 | 24292 |      True | 24292 |  208.951 |  64.9091 | 210.37711858542303 |   65.49392420739409 | 210.31561049077914 |   64.31121177053915 | 207.58648741131873 |   64.31121177053915 | 207.52497931667483 |   65.49392420739409 |           22 |     1.8025262650952387 |    0 |        0.5 |   Target[name=MS230429e, ra[deg]=208.951, dec[deg]=64.9091 |   <FixedTarget "MS230429e" at SkyCoord (ICRS): (ra, dec) in deg (208.951, 64.9091)> | 4af6e1f77b1f4f3f9b7bafc4d1b25e5b |  61.93314017050677 | 2023-04-29T08:20:59.154 | 2023-04-29 14:46:40.396331 | 2023-04-29T21:29:34.518 |  62.74 |
| MS230429e | 14:11:23 |  65:59:59 |    B,R | 180,180 |  5,10 |     1,1 |      1.797217258953621 | 24433 |      True | 24433 | 212.8467 |     66.0 | 214.33521501551184 |   66.58448064074668 | 214.26777340032706 |   65.40179870214205 | 211.42565725660725 |   65.40179870214205 | 211.35821564142245 |   66.58448064074668 |           19 |      1.797217258953621 |    1 |        0.9 |     Target[name=MS230429e, ra[deg]=212.8467, dec[deg]=66.0 |      <FixedTarget "MS230429e" at SkyCoord (ICRS): (ra, dec) in deg (212.8467, 66.)> | 26134bc1a9294a47b5d0cc6bc94bdd95 | 63.836789849129005 | 2023-04-29T08:31:27.132 | 2023-04-29 15:02:16.709538 | 2023-04-29T21:49:58.513 |  61.65 |
| MS230429e | 14:00:52 |  65:59:59 |    B,R | 180,180 |  5,10 |     1,1 |     1.6076968844532842 | 24432 |      True | 24432 |  210.219 |     66.0 | 211.70747778923445 |   66.58448064074668 | 211.64003617404967 |   65.40179870214205 |  208.7979200303299 |   65.40179870214205 | 208.73047841514511 |   66.58448064074668 |           21 |     1.6076968844532842 |    2 |        0.9 |      Target[name=MS230429e, ra[deg]=210.219, dec[deg]=66.0 |       <FixedTarget "MS230429e" at SkyCoord (ICRS): (ra, dec) in deg (210.219, 66.)> | a797fa56a132459eac301c1fdda382fd |  62.83854213449382 | 2023-04-29T08:21:01.409 | 2023-04-29 14:51:04.083213 | 2023-04-29T21:39:32.913 |  61.65 |
| MS230429e | 14:05:52 |  64:54:32 |    B,R | 180,180 |  5,10 |     1,1 |     0.4490519288531533 | 24293 |     False | 24293 | 211.4685 |  64.9091 | 212.89460110290557 |   65.49392420739409 | 212.83309300826167 |   64.31121177053915 | 210.10396992880126 |   64.31121177053915 | 210.04246183415736 |   65.49392420739409 |            9 |     0.4490519288531533 |    3 |        0.9 |  Target[name=MS230429e, ra[deg]=211.4685, dec[deg]=64.9091 |  <FixedTarget "MS230429e" at SkyCoord (ICRS): (ra, dec) in deg (211.4685, 64.9091)> | d83af2964eca4c53b7002c1ed6c1e324 |  62.92493508132579 | 2023-04-29T08:30:58.636 | 2023-04-29 14:56:02.233597 | 2023-04-29T21:39:34.342 |  62.73 |
| MS230429e | 14:06:24 |  67:05:27 |    B,R | 180,180 |  5,10 |     1,1 |    0.21718474121157727 | 24566 |     False | 24566 | 211.6031 |  67.0909 |  213.1602881823506 |   67.67500463973684 | 213.08604780211928 |   66.49235767443047 | 210.12005906810975 |   66.49235767443047 |  210.0458186878784 |   67.67500463973684 |            9 |    0.21718474121157727 |    4 |        0.9 |  Target[name=MS230429e, ra[deg]=211.6031, dec[deg]=67.0909 |  <FixedTarget "MS230429e" at SkyCoord (ICRS): (ra, dec) in deg (211.6031, 67.0909)> | 7b317f8a1ea043f3b3bad3fdf13f2370 |  63.75507400090572 | 2023-04-29T08:21:14.005 | 2023-04-29 14:56:32.650652 | 2023-04-29T21:50:27.206 |  60.56 |
| MS230429e | 13:47:01 |  63:49:05 |    B,R | 180,180 |  5,10 |     1,1 |    0.10293340787693879 | 24146 |     False | 24146 | 206.7568 |  63.8182 | 208.12589757244217 |   64.40333949675585 | 208.06959902201916 |   63.22060030710964 |  205.4439144914943 |   63.22060030710964 |  205.3876159410713 |   64.40333949675585 |            5 |    0.10293340787693879 |    5 |        0.9 |  Target[name=MS230429e, ra[deg]=206.7568, dec[deg]=63.8182 |  <FixedTarget "MS230429e" at SkyCoord (ICRS): (ra, dec) in deg (206.7568, 63.8182)> | a328492d20be46d8bbd804d888a7d2e6 |  60.62460507291466 | 2023-04-29T08:17:00.143 | 2023-04-29 14:40:05.865459 | 2023-04-29T21:16:18.604 |  63.84 |
| MS230429e | 13:45:44 |  64:54:32 |    B,R | 180,180 |  5,10 |     1,1 |     0.1022200043999247 | 24291 |     False | 24291 | 206.4336 |  64.9091 | 207.85963606794053 |    65.4939242073941 | 207.79812797329663 |   64.31121177053915 | 205.06900489383622 |   64.31121177053915 | 205.00749679919235 |    65.4939242073941 |            5 |     0.1022200043999247 |    6 |       0.95 |  Target[name=MS230429e, ra[deg]=206.4336, dec[deg]=64.9091 |  <FixedTarget "MS230429e" at SkyCoord (ICRS): (ra, dec) in deg (206.4336, 64.9091)> | ff90e1b599254a93bf6643f173574cf6 | 60.959568209343495 | 2023-04-29T08:10:59.793 | 2023-04-29 14:39:10.274733 | 2023-04-29T21:19:37.172 |  62.76 |
| MS230429e | 13:42:51 |  62:43:38 |    B,R | 180,180 |  5,10 |     1,1 |    0.05723422665275128 | 23995 |     False | 23995 | 205.7143 |  62.7273 | 207.03132661145005 |   63.31272998707684 | 206.97962722380277 |  62.129967203493145 | 204.44894420476865 |  62.129967203493145 | 204.39724481712133 |   63.31272998707684 |           12 |    0.05723422665275128 |    7 |       0.95 |  Target[name=MS230429e, ra[deg]=205.7143, dec[deg]=62.7273 |  <FixedTarget "MS230429e" at SkyCoord (ICRS): (ra, dec) in deg (205.7143, 62.7273)> | d68eab51bede41ef9c4759b8f624decb |  59.74088773759697 | 2023-04-29T08:17:21.361 | 2023-04-29 14:37:21.517729 | 2023-04-29T21:07:47.665 |  64.94 |
| MS230429e | 13:55:25 |  67:05:27 |    B,R | 180,180 |  5,10 |     1,1 |    0.04138309932590849 | 24565 |     False | 24565 |  208.855 |  67.0909 | 210.41219657929716 |   67.67500463973684 | 210.33795619906584 |   66.49235767443047 | 207.37196746505631 |   66.49235767443047 | 207.29772708482497 |   67.67500463973684 |            4 |    0.04138309932590849 |    8 |       0.95 |   Target[name=MS230429e, ra[deg]=208.855, dec[deg]=67.0909 |   <FixedTarget "MS230429e" at SkyCoord (ICRS): (ra, dec) in deg (208.855, 67.0909)> | 599fa429ffa146a6a0f11aa1a3966fea |  62.76844046442348 | 2023-04-29T08:10:20.657 | 2023-04-29 14:46:16.572521 | 2023-04-29T21:39:30.836 |  60.56 |
| MS230429e | 14:16:12 |  63:49:05 |    B,R | 180,180 |  5,10 |     1,1 |    0.03894086347214749 | 24149 |     False | 24149 | 214.0541 |  63.8182 | 215.42319486973952 |   64.40333949675585 |  215.3668963193165 |   63.22060030710964 | 212.74121178879165 |   63.22060030710964 |  212.6849132383686 |   64.40333949675585 |            7 |    0.03894086347214749 |    9 |       0.95 |  Target[name=MS230429e, ra[deg]=214.0541, dec[deg]=63.8182 |  <FixedTarget "MS230429e" at SkyCoord (ICRS): (ra, dec) in deg (214.0541, 63.8182)> | 8efcba70deaa448693254a2ae434b75b |  63.62876486537194 | 2023-04-29T08:45:58.122 | 2023-04-29 15:08:43.928761 | 2023-04-29T21:45:19.864 |  63.83 |
