|       obj |   ra_hms |   dec_dms | filter | exptime | count | binning |              weight |    note | scheduled |    name |       ra |      dec |        d_L |               prob_vol | stmass |   prob_vol_x_stmass | rank | confidence |                                                 mainTarget |                                                                         FixedTarget |                               id |            moonsep |                    rise |                    transit |                     set | maxalt |
| MS230429g | 17:08:10 |  63:37:51 |    B,R |   60,60 |   3,3 |     2,2 |                 1.0 |  110697 |      True |  110697 |  257.043 |   63.631 | 129.026718 | 1.7435677355184654e-06 |   20.0 |                 1.0 |    0 |        0.5 |    Target[name=MS230429g, ra[deg]=257.043, dec[deg]=63.631 |    <FixedTarget "MS230429g" at SkyCoord (ICRS): (ra, dec) in deg (257.043, 63.631)> | 1e6c805cdce74dfd92d006935d2dfcb9 |  82.47778238843071 | 2023-04-29T04:15:50.080 | 2023-04-29 10:03:03.722667 | 2023-04-29T15:50:23.332 |  58.85 |
| MS230429g | 02:33:10 | -36:51:34 |    B,R |   60,60 |   3,3 |     2,2 |    0.91019921374306 | 1153491 |     False | 1153491 |  38.2933 | -36.8597 | 147.151754 | 2.6449911932609067e-06 |   12.0 |    0.91019921374306 |    1 |        0.5 |  Target[name=MS230429g, ra[deg]=38.2933, dec[deg]=-36.8597 |  <FixedTarget "MS230429g" at SkyCoord (ICRS): (ra, dec) in deg (38.2933, -36.8597)> | fab7cabaf47642a18c08f3da4fbc098c | 115.49419989932599 |                         | 2023-04-28 19:31:13.953491 |                         | -41.55 |
| MS230429g | 03:50:22 | -50:18:09 |    B,R |   60,60 |   3,3 |     2,2 |  0.8557203053640029 | 1155180 |     False | 1155180 |  57.5956 | -50.3026 | 161.924771 |  1.865009367899689e-06 |   16.0 |  0.8557203053640029 |    2 |        0.5 |  Target[name=MS230429g, ra[deg]=57.5956, dec[deg]=-50.3026 |  <FixedTarget "MS230429g" at SkyCoord (ICRS): (ra, dec) in deg (57.5956, -50.3026)> | 879b21dade1f4c59a10035a23caf4e3d | 103.38585320787864 |                         | 2023-04-28 20:47:55.789163 |                         | -31.13 |
| MS230429g | 03:58:13 | -52:19:41 |    B,R |   60,60 |   3,3 |     2,2 |  0.7760103576249823 | 1153406 |     False | 1153406 |  59.5581 | -52.3281 | 151.811288 | 2.4600517322641877e-06 |   11.0 |  0.7760103576249823 |    3 |        0.5 |  Target[name=MS230429g, ra[deg]=59.5581, dec[deg]=-52.3281 |  <FixedTarget "MS230429g" at SkyCoord (ICRS): (ra, dec) in deg (59.5581, -52.3281)> | 2116573b5803465abc562cfd3b22335b | 102.62442015927333 |                         | 2023-04-28 20:55:41.250126 |                         | -30.47 |
| MS230429g | 07:03:24 | -60:15:22 |    B,R |   60,60 |   3,3 |     2,2 |  0.6995982466336859 | 1155358 |     False | 1155358 | 105.8512 | -60.2561 |  146.09788 |  8.131995906443849e-07 |   30.0 |  0.6995982466336859 |    4 |        0.5 | Target[name=MS230429g, ra[deg]=105.8512, dec[deg]=-60.2561 | <FixedTarget "MS230429g" at SkyCoord (ICRS): (ra, dec) in deg (105.8512, -60.2561)> | c4bbfc529d9c43edb8e342969cad379c |  84.93131332107144 |                         | 2023-04-29 00:00:04.189436 |                         | -12.38 |
| MS230429g | 04:00:21 | -52:34:25 |    B,R |   60,60 |   3,3 |     2,2 |  0.6919429807910042 | 1154227 |     False | 1154227 |    60.09 | -52.5737 | 154.515727 | 2.4129039480123838e-06 |   10.0 |  0.6919429807910042 |    5 |        0.5 |    Target[name=MS230429g, ra[deg]=60.09, dec[deg]=-52.5737 |    <FixedTarget "MS230429g" at SkyCoord (ICRS): (ra, dec) in deg (60.09, -52.5737)> | 482a7f5b691c4858931842e3da9f011d | 102.36452401594673 |                         | 2023-04-28 20:57:47.794240 |                         | -30.22 |
| MS230429g | 00:39:18 |  03:02:14 |    B,R |   60,60 |   3,3 |     2,2 |   0.630964460306803 | 1024854 |     False | 1024854 |   9.8268 |   3.0375 |  89.865838 |   2.44473842563015e-06 |    9.0 |   0.630964460306803 |    6 |        0.5 |     Target[name=MS230429g, ra[deg]=9.8268, dec[deg]=3.0375 |     <FixedTarget "MS230429g" at SkyCoord (ICRS): (ra, dec) in deg (9.8268, 3.0375)> | b7a629caf2e540ceb0614e1fea5a1b76 |  133.0671259996841 |                         | 2023-04-29 17:34:05.373389 |                         |  -3.72 |
| MS230429g | 16:11:11 |  61:16:04 |    B,R |   60,60 |   3,3 |     2,2 |  0.6118514336301824 | 1026193 |      True | 1026193 | 242.7959 |  61.2679 | 142.668092 |   1.77801265185162e-06 |   12.0 |  0.6118514336301824 |    7 |        0.5 |  Target[name=MS230429g, ra[deg]=242.7959, dec[deg]=61.2679 |  <FixedTarget "MS230429g" at SkyCoord (ICRS): (ra, dec) in deg (242.7959, 61.2679)> | 2151aecd4ae94b01b7ee25181a236541 |  77.06061120526938 | 2023-04-29T03:24:08.169 | 2023-04-29 09:06:30.796553 | 2023-04-29T14:48:47.117 |  61.24 |
| MS230429g | 04:01:00 | -52:59:05 |    B,R |   60,60 |   3,3 |     2,2 |  0.6000483482523176 | 1157395 |     False | 1157395 |  60.2531 |  -52.985 | 157.346007 | 2.3249515749737208e-06 |    9.0 |  0.6000483482523176 |    8 |        0.5 |   Target[name=MS230429g, ra[deg]=60.2531, dec[deg]=-52.985 |   <FixedTarget "MS230429g" at SkyCoord (ICRS): (ra, dec) in deg (60.2531, -52.985)> | 1223082cedd84169b43bcd2ba9f9144a | 102.36331517418263 |                         | 2023-04-28 20:58:26.175363 |                         | -30.24 |
| MS230429g | 01:27:10 | -18:39:11 |    B,R |   60,60 |   3,3 |     2,2 |  0.5789189920162637 | 1154041 |     False | 1154041 |  21.7922 | -18.6533 | 145.600473 | 2.2430842614042106e-06 |    9.0 |  0.5789189920162637 |    9 |        0.5 |  Target[name=MS230429g, ra[deg]=21.7922, dec[deg]=-18.6533 |  <FixedTarget "MS230429g" at SkyCoord (ICRS): (ra, dec) in deg (21.7922, -18.6533)> | 4b5ec9e3a1e94c88a7c572da6f064523 | 128.33726650741588 |                         | 2023-04-29 18:21:39.205104 |                         | -25.02 |
| MS230429g | 01:54:59 | -26:01:10 |    B,R |   60,60 |   3,3 |     2,2 |  0.5078003496327336 | 1154104 |     False | 1154104 |  28.7493 | -26.0195 | 129.305113 | 2.2134708216522213e-06 |    8.0 |  0.5078003496327336 |   10 |        0.5 |  Target[name=MS230429g, ra[deg]=28.7493, dec[deg]=-26.0195 |  <FixedTarget "MS230429g" at SkyCoord (ICRS): (ra, dec) in deg (28.7493, -26.0195)> | 68bbde387c8e4a049b0779d07224195a | 122.79968979465218 |                         | 2023-04-29 18:49:21.740926 |                         |  -34.0 |
| MS230429g | 04:13:47 | -53:03:46 |    B,R |   60,60 |   3,3 |     2,2 |  0.5000162896491919 | 1156955 |     False | 1156955 |  63.4467 | -53.0628 | 161.076361 | 1.7436327128893295e-06 |   10.0 |  0.5000162896491919 |   11 |        0.5 |  Target[name=MS230429g, ra[deg]=63.4467, dec[deg]=-53.0628 |  <FixedTarget "MS230429g" at SkyCoord (ICRS): (ra, dec) in deg (63.4467, -53.0628)> | 324d97fbd9af463088198a813e2d53ac |  100.5238349114981 |                         | 2023-04-28 21:11:10.133480 |                         | -28.41 |
