|       obj |   ra_hms |   dec_dms | filter | exptime | count | binning |                 weight |     note | scheduled |     name |       ra |      dec |                d_L |               prob_vol | stmass |      prob_vol_x_stmass | rank | confidence |                                                mainTarget |                                                                        FixedTarget |                               id |           moonsep |                    rise |                    transit |                     set | maxalt |
| MS230429h | 21:54:41 |  79:38:19 |    B,R |   60,60 |   3,3 |     2,2 |                    1.0 |    63390 |      True |    63390 | 328.6738 |  79.6388 |          87.589094 |  0.0015988330943574667 |    0.2 |                    1.0 |    0 |        0.9 | Target[name=MS230429h, ra[deg]=328.6738, dec[deg]=79.6388 | <FixedTarget "MS230429h" at SkyCoord (ICRS): (ra, dec) in deg (328.6738, 79.6388)> | e4adaf3b85f44f53b8ea2759ee84a0ec | 82.50823227199659 | 2023-04-29T08:06:32.022 | 2023-04-29 14:48:15.398752 | 2023-04-29T21:30:00.547 |   37.9 |
| MS230429h | 21:23:45 |  79:53:36 |    B,R |   60,60 |   3,3 |     2,2 |      0.538072149633421 |  1037170 |      True |  1037170 | 320.9393 |  79.8936 |          74.869725 | 0.00021542484471496966 |    0.8 |      0.538072149633421 |    1 |        0.9 | Target[name=MS230429h, ra[deg]=320.9393, dec[deg]=79.8936 | <FixedTarget "MS230429h" at SkyCoord (ICRS): (ra, dec) in deg (320.9393, 79.8936)> | 1c203e4b7cb94f06a67f5e242b751204 | 82.19975318454627 | 2023-04-29T07:33:41.178 | 2023-04-29 14:17:03.277746 | 2023-04-29T21:00:28.171 |  38.92 |
| MS230429h | 06:15:20 | -40:53:27 |    B,R |   60,60 |   3,3 |     2,2 |    0.10041190237997259 |  7614742 |     False |  7614742 |  93.8341 | -40.8909 | 102.23225699999999 | 0.00032658267950535347 |    0.1 |    0.10041190237997259 |    2 |        0.9 | Target[name=MS230429h, ra[deg]=93.8341, dec[deg]=-40.8909 | <FixedTarget "MS230429h" at SkyCoord (ICRS): (ra, dec) in deg (93.8341, -40.8909)> | f9924d319b0d49ff9ab4ee6928868e49 | 76.77101046166635 |                         | 2023-04-28 23:12:35.163771 |                         |  -4.64 |
| MS230429h | 06:14:33 | -40:14:04 |    B,R |   60,60 |   3,3 |     2,2 |     0.0644695967595418 |  7615284 |     False |  7615284 |  93.6409 | -40.2345 |          98.550987 | 0.00021187088949523597 |    0.1 |     0.0644695967595418 |    3 |       0.95 | Target[name=MS230429h, ra[deg]=93.6409, dec[deg]=-40.2345 | <FixedTarget "MS230429h" at SkyCoord (ICRS): (ra, dec) in deg (93.6409, -40.2345)> | cbe145af908b4fa08167026705f8faf0 | 76.48037587986946 |                         | 2023-04-28 23:11:49.626742 |                         |  -4.33 |
| MS230429h | 21:32:21 |  80:54:50 |    B,R |   60,60 |   3,3 |     2,2 |    0.04493084403236266 | 20125383 |      True | 20125383 | 323.0885 |  80.9141 |          34.638797 |  0.0014951192111464394 |   0.01 |    0.04493084403236266 |    4 |       0.95 | Target[name=MS230429h, ra[deg]=323.0885, dec[deg]=80.9141 | <FixedTarget "MS230429h" at SkyCoord (ICRS): (ra, dec) in deg (323.0885, 80.9141)> | 258f42f2bdb240e988678420702de70c | 81.21420052082335 | 2023-04-29T07:34:10.300 | 2023-04-29 14:25:31.545720 | 2023-04-29T21:16:52.391 |  38.03 |
| MS230429h | 21:36:17 |  80:00:30 |    B,R |   60,60 |   3,3 |     2,2 |    0.03497075586713042 | 20125539 |      True | 20125539 | 324.0731 |  80.0084 |          65.534878 |  0.0011772376604409567 |   0.01 |    0.03497075586713042 |    5 |       0.95 | Target[name=MS230429h, ra[deg]=324.0731, dec[deg]=80.0084 | <FixedTarget "MS230429h" at SkyCoord (ICRS): (ra, dec) in deg (324.0731, 80.0084)> | 2a20273abc9e42bf9001f3b05b73f1eb | 82.12806748569032 | 2023-04-29T07:45:27.197 | 2023-04-29 14:29:41.774376 | 2023-04-29T21:13:53.940 |   38.4 |
| MS230429h | 22:38:14 |  80:40:38 |    B,R |   60,60 |   3,3 |     2,2 |   0.029100474430512762 |     4596 |      True |     4596 | 339.5614 |  80.6772 |          35.949825 | 0.00014141206522564264 |   0.07 |   0.029100474430512762 |    6 |        1.0 | Target[name=MS230429h, ra[deg]=339.5614, dec[deg]=80.6772 | <FixedTarget "MS230429h" at SkyCoord (ICRS): (ra, dec) in deg (339.5614, 80.6772)> | 23dba3b5d3cb46a281c180fc9af76697 | 81.26508617804535 | 2023-04-29T08:42:32.050 | 2023-04-29 15:32:00.876686 | 2023-04-29T22:21:32.440 |  35.78 |
| MS230429h | 21:34:16 |  79:07:47 |    B,R |   60,60 |   3,3 |     2,2 |   0.024911585775121488 | 19973761 |      True | 19973761 | 323.5692 |  79.1299 |  80.94556800000001 |  0.0008561938569513464 |   0.01 |   0.024911585775121488 |    7 |        1.0 | Target[name=MS230429h, ra[deg]=323.5692, dec[deg]=79.1299 | <FixedTarget "MS230429h" at SkyCoord (ICRS): (ra, dec) in deg (323.5692, 79.1299)> | 73e5c5062843463dbcffc5f5a8aefd77 | 83.00007127237296 | 2023-04-29T07:49:21.104 | 2023-04-29 14:27:48.735440 | 2023-04-29T21:06:14.541 |  38.97 |
| MS230429h | 06:19:19 | -40:28:12 |    B,R |   60,60 |   3,3 |     2,2 |   0.016926615648429757 |  7700306 |     False |  7700306 |  94.8315 |   -40.47 | 122.94526699999999 |  6.013492343709915e-05 |    0.1 |   0.016926615648429757 |    8 |        1.0 |   Target[name=MS230429h, ra[deg]=94.8315, dec[deg]=-40.47 |   <FixedTarget "MS230429h" at SkyCoord (ICRS): (ra, dec) in deg (94.8315, -40.47)> | c810cb86bd2148dba8f1a95679ffb40c | 75.91746989249573 |                         | 2023-04-28 23:16:33.780018 |                         |  -3.79 |
| MS230429h | 06:18:51 | -41:01:59 |    B,R |   60,60 |   3,3 |     2,2 |   0.007007558811100026 |  7699433 |     False |  7699433 |  94.7147 | -41.0333 |          83.524556 | 0.00028477724288333096 |   0.01 |   0.007007558811100026 |    9 |        1.0 | Target[name=MS230429h, ra[deg]=94.7147, dec[deg]=-41.0333 | <FixedTarget "MS230429h" at SkyCoord (ICRS): (ra, dec) in deg (94.7147, -41.0333)> | 0139ca3fe5fa40759d71b9e95dab71c1 | 76.34096773611068 |                         | 2023-04-28 23:16:05.352975 |                         |  -4.22 |
| MS230429h | 22:31:11 |  81:05:51 |    B,R |   60,60 |   3,3 |     2,2 |   0.005706268654291676 | 20984042 |      True | 20984042 | 337.7989 |  81.0976 |          72.780967 |   0.000243245870258742 |   0.01 |   0.005706268654291676 |   10 |        1.0 | Target[name=MS230429h, ra[deg]=337.7989, dec[deg]=81.0976 | <FixedTarget "MS230429h" at SkyCoord (ICRS): (ra, dec) in deg (337.7989, 81.0976)> | 596de40d4e2a486fafb592f84324cbda | 80.90622336804205 | 2023-04-29T08:31:44.224 | 2023-04-29 15:24:50.619153 | 2023-04-29T22:17:58.592 |  35.91 |
| MS230429h | 06:16:40 | -40:36:16 |    B,R |   60,60 |   3,3 |     2,2 |   0.003607620895522093 |  7700246 |     False |  7700246 |  94.1697 | -40.6047 |         123.428124 |  8.813320125979608e-05 |   0.02 |   0.003607620895522093 |   11 |        1.0 | Target[name=MS230429h, ra[deg]=94.1697, dec[deg]=-40.6047 | <FixedTarget "MS230429h" at SkyCoord (ICRS): (ra, dec) in deg (94.1697, -40.6047)> | 5cef4a8f4c924bb0867a1800cc0f2cec | 76.39392546594623 |                         | 2023-04-28 23:13:55.634910 |                         |  -4.26 |
| MS230429h | 06:14:53 | -40:12:55 |    B,R |   60,60 |   3,3 |     2,2 |  0.0029787245183058937 |  7615297 |     False |  7615297 |  93.7212 | -40.2155 | 109.18718799999999 | 0.00015619483765931422 |   0.01 |  0.0029787245183058937 |   12 |        1.0 | Target[name=MS230429h, ra[deg]=93.7212, dec[deg]=-40.2155 | <FixedTarget "MS230429h" at SkyCoord (ICRS): (ra, dec) in deg (93.7212, -40.2155)> | a04ac51e9f024b52b3d98ae98fb8ff3c | 76.42040179766745 |                         | 2023-04-28 23:12:08.843093 |                         |  -4.27 |
| MS230429h | 21:18:45 |  79:08:23 |    B,R |   60,60 |   3,3 |     2,2 |  0.0020633671235865225 | 19500089 |      True | 19500089 | 319.6884 |  79.1399 |          12.479204 |  0.0001269807159310715 |   0.01 |  0.0020633671235865225 |   13 |        1.0 | Target[name=MS230429h, ra[deg]=319.6884, dec[deg]=79.1399 | <FixedTarget "MS230429h" at SkyCoord (ICRS): (ra, dec) in deg (319.6884, 79.1399)> | 030ab341db544a3a82f2fd1f65e70a6c | 82.92237054605074 | 2023-04-29T07:33:42.528 | 2023-04-29 14:12:09.811786 | 2023-04-29T20:50:39.191 |  39.56 |
| MS230429h | 22:48:42 |  80:07:17 |    B,R |   60,60 |   3,3 |     2,2 |  0.0017114069239753478 | 21154659 |      True | 21154659 | 342.1768 |  80.1216 |          44.455889 | 0.00011574771756971586 |   0.01 |  0.0017114069239753478 |   14 |        1.0 | Target[name=MS230429h, ra[deg]=342.1768, dec[deg]=80.1216 | <FixedTarget "MS230429h" at SkyCoord (ICRS): (ra, dec) in deg (342.1768, 80.1216)> | c2c3b5de7b4b4b8bb8e9065f98d29745 | 81.70653826349881 | 2023-04-29T08:57:29.703 | 2023-04-29 15:42:40.871646 | 2023-04-29T22:27:49.895 |  35.52 |
| MS230429h | 06:21:54 | -40:12:01 |    B,R |   60,60 |   3,3 |     2,2 | 0.00036559334993197526 |  7700573 |     False |  7700573 |  95.4775 | -40.2004 |  81.68176600000001 |  7.279535622709715e-05 |   0.01 | 0.00036559334993197526 |   15 |        1.0 | Target[name=MS230429h, ra[deg]=95.4775, dec[deg]=-40.2004 | <FixedTarget "MS230429h" at SkyCoord (ICRS): (ra, dec) in deg (95.4775, -40.2004)> | 49e8956a43f34e17a97766cff0f61b95 | 75.36553485623963 |                         | 2023-04-28 23:19:08.182520 |                         |  -3.24 |
