#	Observing Date = 2023-04-30
#	Observatory = CBNUO
#	-18 deg sunset = 20:53
#	-18 deg sunrise = 03:57
#	Moon ra, dec = 10:7:14.64   16:43:4.09
#	Moon phase = 0.66
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|      name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) |                 weight |  note |
| MS230429o | 00:15:00 |  73:38:10 |    02:43 |       10:13 |   17:42 |             87 |                    0.0 | 25191 |
| MS230429o | 00:16:00 |  74:43:38 |    02:34 |       10:14 |   17:54 |             86 |                    0.0 | 25287 |
| MS230429o | 00:17:08 |  75:49:05 |    02:23 |       10:15 |   18:07 |             85 |                    0.0 | 25377 |
| MS230429o | 00:18:27 |  76:54:32 |    02:10 |       10:16 |   18:23 |             84 |                    0.0 | 25461 |
| MS230429o | 00:20:00 |  78:00:00 |    01:53 |       10:18 |   18:42 |             83 |                    0.0 | 25539 |
| MS230429o | 00:32:00 |  74:43:38 |    02:50 |       10:30 |   18:10 |             86 |   0.002753148071449683 | 25288 |
| MS230429o | 00:34:17 |  75:49:05 |    02:40 |       10:32 |   18:25 |             85 |                    0.0 | 25378 |
| MS230429o | 00:36:55 |  76:54:32 |    02:28 |       10:35 |   18:42 |             84 |    0.01049457962164449 | 25462 |
| MS230429o | 00:40:00 |  78:00:00 |    02:14 |       10:38 |   19:03 |             83 |   0.019455349321674913 | 25540 |
| MS230429o | 00:43:38 |  79:05:27 |    01:55 |       10:42 |   19:28 |             82 |                    0.0 | 25612 |
| MS230429o | 00:55:23 |  76:54:32 |    02:47 |       10:54 |   19:00 |             83 |     0.2734837762600461 | 25463 |
| MS230429o | 01:00:00 |  78:00:00 |    02:34 |       10:58 |   19:23 |             82 |    0.04532160898834647 | 25541 |
| MS230429o | 01:05:27 |  79:05:27 |    02:17 |       11:04 |   19:50 |             81 |   0.022241985077204707 | 25613 |
| MS230429o | 01:12:00 |  80:10:54 |    01:55 |       11:10 |   20:26 |             80 |                    0.0 | 25679 |
| MS230429o | 01:27:16 |  79:05:27 |    02:40 |       11:26 |   20:12 |             80 |    0.09830646509864545 | 25614 |
| MS230429o | 01:36:00 |  80:10:54 |    02:20 |       11:35 |   20:50 |             79 |                    0.0 | 25680 |
| MS230429o | 02:00:00 |  80:10:54 |    02:44 |       11:59 |   21:14 |             78 |                    0.0 | 25681 |
| MS230429o | 02:24:00 |  80:10:54 |    03:12 |       12:27 |   21:42 |             78 |                    0.0 | 25682 |
| MS230429o | 02:48:00 |  80:10:54 |    03:37 |       12:51 |   22:05 |             77 |    0.07847277319942808 | 25683 |
| MS230429o | 03:12:00 |  80:10:54 |    04:01 |       13:15 |   22:29 |             76 |   0.008485135226406731 | 25684 |
| MS230429o | 03:16:21 |  79:05:27 |    04:34 |       13:20 |   22:05 |             76 |   0.006150281547879746 | 25619 |
| MS230429o | 03:36:00 |  80:10:54 |    04:26 |       13:40 |   22:53 |             75 |   0.002082852086614065 | 25685 |
| MS230429o | 03:38:10 |  79:05:27 |    04:56 |       13:41 |   22:27 |             75 |    0.04508194484603805 | 25620 |
| MS230429o | 03:40:00 |  78:00:00 |    05:19 |       13:43 |   22:07 |             75 |  0.0020200976157556064 | 25549 |
| MS230429o | 04:00:00 |  80:10:54 |    04:50 |       14:04 |   23:17 |             74 |                    0.0 | 25686 |
| MS230429o | 04:00:00 |  76:54:32 |    05:57 |       14:03 |   22:09 |             74 | 3.5752816027741198e-06 | 25473 |
| MS230429o | 04:00:00 |  78:00:00 |    05:40 |       14:03 |   22:27 |             74 |   0.012233080644951544 | 25550 |
| MS230429o | 04:00:00 |  75:49:05 |    06:11 |       14:03 |   21:55 |             74 |                    0.0 | 25390 |
