#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
3415,294.545,5.745,295.552,6.744,295.549,4.744,293.542,4.744,293.539,6.744,6,0.559,0,0.5,MS230429o,3415,0.559
5225,305.581,24.894,306.693,25.890,306.675,23.890,304.488,23.890,304.470,25.890,9,0.557,1,0.5,MS230429o,5225,0.557
5395,306.746,26.809,307.876,27.804,307.856,25.804,305.635,25.804,305.615,27.804,10,0.396,2,0.5,MS230429o,5395,0.396
2662,289.149,-1.915,290.149,-0.915,290.150,-2.915,288.148,-2.915,288.149,-0.915,2,0.346,3,0.5,MS230429o,2662,0.346
3601,294.194,7.660,295.205,8.658,295.200,6.658,293.187,6.658,293.182,8.658,7,0.320,4,0.5,MS230429o,3601,0.320
5052,304.138,22.979,305.232,23.975,305.216,21.975,303.060,21.975,303.044,23.975,11,0.277,5,0.9,MS230429o,5052,0.277
5562,307.952,28.723,309.103,29.719,309.081,27.719,306.822,27.719,306.801,29.719,17,0.235,6,0.9,MS230429o,5562,0.235
5226,307.674,24.894,308.786,25.890,308.768,23.890,306.581,23.890,306.563,25.890,6,0.222,7,0.9,MS230429o,5226,0.222
3602,296.129,7.660,297.140,8.658,297.136,6.658,295.122,6.658,295.118,8.658,6,0.216,8,0.9,MS230429o,3602,0.216
4341,300.659,15.319,301.701,16.317,301.691,14.317,299.627,14.317,299.618,16.317,5,0.166,9,0.9,MS230429o,4341,0.166
2851,291.064,0.000,292.064,1.000,292.064,-1.000,290.064,-1.000,290.064,1.000,3,0.157,10,0.9,MS230429o,2851,0.157
5224,303.488,24.894,304.600,25.890,304.582,23.890,302.395,23.890,302.377,25.890,6,0.101,11,0.9,MS230429o,5224,0.101
4522,302.000,17.234,303.053,18.231,303.041,16.231,300.959,16.231,300.947,18.231,4,0.097,12,0.9,MS230429o,4522,0.097
3039,291.064,1.915,292.065,2.915,292.064,0.915,290.064,0.915,290.063,2.915,2,0.076,13,0.9,MS230429o,3039,0.076
5561,305.783,28.723,306.934,29.719,306.913,27.719,304.654,27.719,304.632,29.719,8,0.075,14,0.9,MS230429o,5561,0.075
2474,288.770,-3.830,289.771,-2.829,289.773,-4.829,287.767,-4.829,287.769,-2.829,1,0.061,15,0.9,MS230429o,2474,0.061
4700,301.348,19.149,302.413,20.146,302.400,18.146,300.296,18.146,300.283,20.146,6,0.060,16,0.9,MS230429o,4700,0.060
3040,292.979,1.915,293.980,2.915,293.979,0.915,291.979,0.915,291.978,2.915,3,0.060,17,0.9,MS230429o,3040,0.060
3789,298.065,9.574,299.082,10.573,299.076,8.573,297.053,8.573,297.047,10.573,3,0.057,18,0.9,MS230429o,3789,0.057
4158,299.016,13.404,300.049,14.402,300.040,12.402,297.993,12.402,297.984,14.402,1,0.044,19,0.95,MS230429o,4158,0.044
4699,299.326,19.149,300.391,20.146,300.378,18.146,298.274,18.146,298.261,20.146,2,0.042,20,0.95,MS230429o,4699,0.042
3974,297.730,11.489,298.754,12.488,298.747,10.488,296.713,10.488,296.706,12.488,2,0.041,21,0.95,MS230429o,3974,0.041
4878,304.773,21.064,305.852,22.060,305.837,20.060,303.708,20.060,303.694,22.060,4,0.039,22,0.95,MS230429o,4878,0.039
4701,303.371,19.149,304.436,20.146,304.423,18.146,302.319,18.146,302.306,20.146,5,0.036,23,0.95,MS230429o,4701,0.036
5053,306.207,22.979,307.301,23.975,307.285,21.975,305.129,21.975,305.113,23.975,1,0.034,24,0.95,MS230429o,5053,0.034
5563,310.120,28.723,311.272,29.719,311.250,27.719,308.991,27.719,308.969,29.719,3,0.034,25,1.0,MS230429o,5563,0.034
5051,302.069,22.979,303.163,23.975,303.147,21.975,300.991,21.975,300.975,23.975,1,0.026,26,1.0,MS230429o,5051,0.026
3041,294.894,1.915,295.895,2.915,295.894,0.915,293.894,0.915,293.892,2.915,3,0.023,27,1.0,MS230429o,3041,0.023
3416,296.471,5.745,297.477,6.744,297.474,4.744,295.467,4.744,295.464,6.744,5,0.021,28,1.0,MS230429o,3416,0.021
4877,302.727,21.064,303.806,22.060,303.792,20.060,301.663,20.060,301.648,22.060,2,0.019,29,1.0,MS230429o,4877,0.019
3787,294.194,9.574,295.211,10.573,295.205,8.573,293.182,8.573,293.176,10.573,3,0.018,30,1.0,MS230429o,3787,0.018
3975,299.676,11.489,300.700,12.488,300.693,10.488,298.659,10.488,298.652,12.488,2,0.017,31,1.0,MS230429o,3975,0.017
4157,297.049,13.404,298.081,14.402,298.073,12.402,296.025,12.402,296.017,14.402,1,0.015,32,1.0,MS230429o,4157,0.015
5396,308.876,26.809,310.006,27.804,309.986,25.804,307.765,25.804,307.745,27.804,3,0.011,33,1.0,MS230429o,5396,0.011
2852,292.979,0.000,293.979,1.000,293.979,-1.000,291.979,-1.000,291.979,1.000,1,0.010,34,1.0,MS230429o,2852,0.010
2287,288.770,-5.745,289.773,-4.744,289.777,-6.744,287.763,-6.744,287.767,-4.744,1,0.009,35,1.0,MS230429o,2287,0.009
2663,291.064,-1.915,292.064,-0.915,292.065,-2.915,290.063,-2.915,290.064,-0.915,1,0.008,36,1.0,MS230429o,2663,0.008
4159,300.984,13.404,302.016,14.402,302.007,12.402,299.960,12.402,299.951,14.402,1,0.005,37,1.0,MS230429o,4159,0.005
3973,295.784,11.489,296.808,12.488,296.801,10.488,294.767,10.488,294.760,12.488,1,0.004,38,1.0,MS230429o,3973,0.004
