|       obj |   ra_hms |  dec_dms | filter | exptime | count | binning |                 weight |  note | scheduled |   #id |      ra |     dec |                ra1 |               dec1 |                ra2 |                  dec2 |                ra3 |                  dec3 |                ra4 |               dec4 | n_hostgalaxy |      prob_vol_x_stmass | rank | confidence |                                               mainTarget |                                                                       FixedTarget |                               id |            moonsep |                    rise |                    transit |                     set | maxalt |
| MS230430d | 01:23:10 | 33:16:21 |    B,R | 180,180 |  5,10 |     1,1 |       7.86920464491051 | 17913 |     False | 17913 | 20.7942 | 33.2727 |  21.50651606766246 |  33.86221014379216 | 21.496930534558285 |     32.67923728887589 |  20.09151711887133 |     32.67923728887588 | 20.081931585767155 |  33.86221014379216 |           65 |       7.86920464491051 |    0 |        0.5 | Target[name=MS230430d, ra[deg]=20.7942, dec[deg]=33.2727 | <FixedTarget "MS230430d" at SkyCoord (ICRS): (ra, dec) in deg (20.7942, 33.2727)> | e71e3def908349a68f50d9b598e50fa5 | 122.37891423797295 |                         | 2023-05-01 02:19:20.866016 |                         |   5.79 |
| MS230430d | 01:06:51 | 32:10:54 |    B,R | 180,180 |  5,10 |     1,1 |      3.706215124088847 | 17630 |     False | 17630 | 16.7143 | 32.1818 |    17.417719077233 |  32.77138429875684 | 17.408638373756645 |    31.588409263433437 | 16.019933054814793 |    31.588409263433437 |  16.01085235133844 |  32.77138429875684 |           41 |      3.706215124088847 |    1 |        0.5 | Target[name=MS230430d, ra[deg]=16.7143, dec[deg]=32.1818 | <FixedTarget "MS230430d" at SkyCoord (ICRS): (ra, dec) in deg (16.7143, 32.1818)> | 96d88b6cae91412e84580c7d9e25b333 | 125.55803666113218 |                         | 2023-05-01 01:59:44.602189 |                         |   7.67 |
| MS230430d | 01:24:05 | 34:21:49 |    B,R | 180,180 |  5,10 |     1,1 |     2.2371840813970256 | 18190 |     False | 18190 | 21.0219 | 34.3636 | 21.743539807101246 | 34.953033834005176 | 21.733423075021975 |     33.77006330944716 | 20.310372545415984 |     33.77006330944716 |  20.30025581333671 | 34.953033834005176 |           21 |     2.2371840813970256 |    2 |        0.5 | Target[name=MS230430d, ra[deg]=21.0219, dec[deg]=34.3636 | <FixedTarget "MS230430d" at SkyCoord (ICRS): (ra, dec) in deg (21.0219, 34.3636)> | 4a29c0012edf4157bfe37db2f994161f | 121.48366928709386 |                         | 2023-05-01 02:20:41.361053 |                         |   6.38 |
| MS230430d | 01:12:46 | 33:16:21 |    B,R | 180,180 |  5,10 |     1,1 |     2.2147889433561185 | 17911 |     False | 17911 | 18.1949 | 33.2727 | 18.907238089323112 |  33.86221014379217 | 18.897652556218933 |    32.679237288875896 | 17.492239140531982 |     32.67923728887589 |  17.48265360742781 |  33.86221014379217 |           23 |     2.2147889433561185 |    3 |        0.5 | Target[name=MS230430d, ra[deg]=18.1949, dec[deg]=33.2727 | <FixedTarget "MS230430d" at SkyCoord (ICRS): (ra, dec) in deg (18.1949, 33.2727)> | 4ea25dd823264cb0943cf7e3d2aee5f0 | 123.91042483080255 |                         | 2023-05-01 02:05:33.024319 |                         |   7.43 |
| MS230430d | 01:00:12 | 29:59:59 |    B,R | 180,180 |  5,10 |     1,1 |     2.0718661796361486 | 17058 |     False | 17058 | 15.0523 |    30.0 | 15.739357373257677 | 30.589726689460576 | 15.731215331685133 |    29.406747703114902 | 14.373314285039609 |    29.406747703114902 | 14.365172243467072 | 30.589726689460576 |           20 |     2.0718661796361486 |    4 |        0.5 |    Target[name=MS230430d, ra[deg]=15.0523, dec[deg]=30.0 |     <FixedTarget "MS230430d" at SkyCoord (ICRS): (ra, dec) in deg (15.0523, 30.)> | 9cc003fa67e74f82bb3e04e2640f7378 |  128.1287802749855 |                         | 2023-05-01 01:54:17.550855 |                         |   7.37 |
| MS230430d | 01:17:58 | 33:16:21 |    B,R | 180,180 |  5,10 |     1,1 |     1.4921462425084333 | 17912 |     False | 17912 | 19.4946 | 33.2727 | 20.206877078492777 |  33.86221014379216 | 20.197291545388605 |    32.679237288875896 | 18.791878129701654 |    32.679237288875896 | 18.782292596597475 |  33.86221014379217 |           21 |     1.4921462425084333 |    5 |        0.5 | Target[name=MS230430d, ra[deg]=19.4946, dec[deg]=33.2727 | <FixedTarget "MS230430d" at SkyCoord (ICRS): (ra, dec) in deg (19.4946, 33.2727)> | 34f3625bbffb464482f3851bf088bac3 | 123.15282391028062 |                         | 2023-05-01 02:12:50.660609 |                         |    6.6 |
| MS230430d | 00:55:11 | 29:59:59 |    B,R | 180,180 |  5,10 |     1,1 |     1.4700194930953334 | 17057 |     False | 17057 | 13.7979 |    30.0 |  14.48500197256081 | 30.589726689460576 |  14.47685993098827 |    29.406747703114895 | 13.118958884342746 |    29.406747703114902 | 13.110816842770205 | 30.589726689460576 |           22 |     1.4700194930953334 |    6 |        0.5 |    Target[name=MS230430d, ra[deg]=13.7979, dec[deg]=30.0 |     <FixedTarget "MS230430d" at SkyCoord (ICRS): (ra, dec) in deg (13.7979, 30.)> | b8c6cda224d24829b3c617172d390bf7 |   128.848517050303 |                         | 2023-05-01 01:50:01.739891 |                         |   8.22 |
| MS230430d | 01:51:16 | 48:32:43 |    B,R | 180,180 |  5,10 |     1,1 |     1.4334461216923766 | 21446 |     False | 21446 | 27.8182 | 48.5455 |  28.72217558252043 |  49.13345727325347 | 28.701290527384966 |    47.950538072179555 | 26.935073108978667 |    47.950538072179555 |  26.91418805384321 |  49.13345727325348 |           32 |     1.4334461216923766 |    7 |        0.5 | Target[name=MS230430d, ra[deg]=27.8182, dec[deg]=48.5455 | <FixedTarget "MS230430d" at SkyCoord (ICRS): (ra, dec) in deg (27.8182, 48.5455)> | 6618923a949e469991d051b1860e12f1 | 108.00543251807653 |                         | 2023-05-01 02:45:21.573503 |                         |  12.32 |
| MS230430d | 01:32:18 | 45:16:21 |    B,R | 180,180 |  5,10 |     1,1 |      1.374301353534894 | 20755 |     False | 20755 | 23.0769 | 45.2727 | 23.926261966550523 |   45.8611125049158 | 23.908741276382354 |      44.6781767588675 |  22.24510487746381 |      44.6781767588675 | 22.227584187295637 |   45.8611125049158 |            8 |      1.374301353534894 |    8 |        0.5 | Target[name=MS230430d, ra[deg]=23.0769, dec[deg]=45.2727 | <FixedTarget "MS230430d" at SkyCoord (ICRS): (ra, dec) in deg (23.0769, 45.2727)> | 80fcb5c5d59a4198b27cc385197135e2 |  112.6080245681417 |                         | 2023-05-01 02:27:03.512068 |                         |  12.47 |
| MS230430d | 01:07:34 | 33:16:21 |    B,R | 180,180 |  5,10 |     1,1 |     1.3270947946227856 | 17910 |     False | 17910 | 16.8953 | 33.2727 |  17.60759910015343 |  33.86221014379217 |  17.59801356704925 |    32.679237288875896 |   16.1926001513623 |     32.67923728887589 | 16.183014618258124 |  33.86221014379217 |           23 |     1.3270947946227856 |    9 |        0.5 | Target[name=MS230430d, ra[deg]=16.8953, dec[deg]=33.2727 | <FixedTarget "MS230430d" at SkyCoord (ICRS): (ra, dec) in deg (16.8953, 33.2727)> | 075a53612e9a487aa243b27743d9a469 | 124.65090400502764 |                         | 2023-05-01 02:00:06.358096 |                         |   8.26 |
