|       obj |   ra_hms |   dec_dms | filter | exptime | count | binning |                 weight |     note | scheduled |     name |       ra |      dec |                d_L |               prob_vol | stmass |      prob_vol_x_stmass | rank | confidence |                                                 mainTarget |                                                                         FixedTarget |                               id |            moonsep |                    rise |                    transit |                     set | maxalt |
| MS230501i | 12:03:31 | -43:39:14 |      r |     180 |     3 |       1 |                    1.0 |  1151172 |      True |  1151172 |  180.881 | -43.6539 |          73.209195 | 0.00046579250641094804 |    5.1 |                    1.0 |    0 |        0.5 |  Target[name=MS230501i, ra[deg]=180.881, dec[deg]=-43.6539 |  <FixedTarget "MS230501i" at SkyCoord (ICRS): (ra, dec) in deg (180.881, -43.6539)> | 19ddf893d4c44db99cfeab0d5bfb4c76 |  51.39671303337469 | 2023-05-01T06:25:24.016 | 2023-05-01 11:32:00.694363 | 2023-05-01T16:38:25.733 |  77.49 |
| MS230501i | 12:04:17 | -41:37:53 |      r |     180 |     3 |       1 |     0.6425729384648067 |  1156836 |      True |  1156836 | 181.0722 | -41.6315 |         104.825125 | 0.00037233006276310773 |    4.1 |     0.6425729384648067 |    1 |        0.5 | Target[name=MS230501i, ra[deg]=181.0722, dec[deg]=-41.6315 | <FixedTarget "MS230501i" at SkyCoord (ICRS): (ra, dec) in deg (181.0722, -41.6315)> | db915fab281847e2bcbab7d13f389067 |  49.43281234190316 | 2023-05-01T06:29:25.392 | 2023-05-01 11:32:44.289419 | 2023-05-01T16:35:55.985 |  79.51 |
| MS230501i | 12:04:52 | -43:43:53 |      r |     180 |     3 |       1 |     0.3880021228843284 |  1153620 |      True |  1153620 | 181.2203 | -43.7316 |          70.938152 |  0.0004609384245908012 |    2.0 |     0.3880021228843284 |    2 |        0.5 | Target[name=MS230501i, ra[deg]=181.2203, dec[deg]=-43.7316 | <FixedTarget "MS230501i" at SkyCoord (ICRS): (ra, dec) in deg (181.2203, -43.7316)> | 8efb06afeffc40f8a4de95d50443fc74 | 51.517149018575005 | 2023-05-01T06:26:37.975 | 2023-05-01 11:33:16.516040 | 2023-05-01T16:39:54.617 |  77.41 |
| MS230501i | 12:12:27 | -42:02:28 |      r |     180 |     3 |       1 |    0.37108000859684376 |  1153947 |      True |  1153947 | 183.1147 | -42.0413 |         105.072808 | 0.00016327446545992937 |    5.4 |    0.37108000859684376 |    3 |        0.5 | Target[name=MS230501i, ra[deg]=183.1147, dec[deg]=-42.0413 | <FixedTarget "MS230501i" at SkyCoord (ICRS): (ra, dec) in deg (183.1147, -42.0413)> | 41fe492d09834cf99bf3152c4f7ebb6e |  50.14868474831255 | 2023-05-01T06:36:55.750 | 2023-05-01 11:40:17.857629 | 2023-05-01T16:44:45.957 |   79.1 |
| MS230501i | 12:01:08 | -42:44:48 |      r |     180 |     3 |       1 |     0.2834797278800032 |  1157026 |      True |  1157026 |  180.287 | -42.7467 |          80.354132 |  0.0005613392599786781 |    1.2 |     0.2834797278800032 |    4 |        0.9 |  Target[name=MS230501i, ra[deg]=180.287, dec[deg]=-42.7467 |  <FixedTarget "MS230501i" at SkyCoord (ICRS): (ra, dec) in deg (180.287, -42.7467)> | 2ab7b43f3aca4c6bb9e15f7329a83680 |  50.42899052686396 | 2023-05-01T06:24:28.852 | 2023-05-01 11:29:49.446674 | 2023-05-01T16:34:35.744 |  78.39 |
| MS230501i | 12:04:52 | -43:43:54 |      r |     180 |     3 |       1 |     0.2351247594928833 |  1329808 |      True |  1329808 |   181.22 | -43.7317 |          65.788416 |  0.0003725004415305283 |    1.5 |     0.2351247594928833 |    5 |        0.9 |   Target[name=MS230501i, ra[deg]=181.22, dec[deg]=-43.7317 |   <FixedTarget "MS230501i" at SkyCoord (ICRS): (ra, dec) in deg (181.22, -43.7317)> | 4b988caf8b9848cea01e01c901c0b92e |  51.51720768934654 | 2023-05-01T06:26:37.893 | 2023-05-01 11:33:16.448971 | 2023-05-01T16:39:54.554 |  77.41 |
| MS230501i | 12:06:34 | -43:54:26 |      r |     180 |     3 |       1 |    0.21543411709046492 |  1161677 |      True |  1161677 |  181.642 | -43.9074 |         124.483554 | 0.00012189998629062527 |    4.2 |    0.21543411709046492 |    6 |        0.9 |  Target[name=MS230501i, ra[deg]=181.642, dec[deg]=-43.9074 |  <FixedTarget "MS230501i" at SkyCoord (ICRS): (ra, dec) in deg (181.642, -43.9074)> | 4c32eb7e008d47b08d45ba30de5cde11 |  51.74680374092201 | 2023-05-01T06:28:02.298 | 2023-05-01 11:34:51.002190 | 2023-05-01T16:41:52.686 |  77.23 |
| MS230501i | 12:17:59 | -43:32:23 |      r |     180 |     3 |       1 |      0.205350279278997 |  1152844 |      True |  1152844 | 184.4995 |   -43.54 |          96.483441 | 0.00016267600147662752 |    3.0 |      0.205350279278997 |    7 |        0.9 |   Target[name=MS230501i, ra[deg]=184.4995, dec[deg]=-43.54 |   <FixedTarget "MS230501i" at SkyCoord (ICRS): (ra, dec) in deg (184.4995, -43.54)> | 682ec8496cb14641a3da2bf983981594 |  51.84806213971897 | 2023-05-01T06:40:03.175 | 2023-05-01 11:45:55.337110 | 2023-05-01T16:52:42.899 |   77.6 |
| MS230501i | 12:01:20 | -42:40:12 |      r |     180 |     3 |       1 |    0.17517819363711443 |  1162861 |      True |  1162861 | 180.3346 | -42.6701 |          77.995803 |   0.000520451146333438 |    0.8 |    0.17517819363711443 |    8 |        0.9 | Target[name=MS230501i, ra[deg]=180.3346, dec[deg]=-42.6701 | <FixedTarget "MS230501i" at SkyCoord (ICRS): (ra, dec) in deg (180.3346, -42.6701)> | 57a1864087e74391a891e47baaac5218 |  50.35923700143151 | 2023-05-01T06:24:47.674 | 2023-05-01 11:30:00.255910 | 2023-05-01T16:34:39.759 |  78.47 |
| MS230501i | 12:09:01 | -43:05:58 |      r |     180 |     3 |       1 |    0.14176842278337484 |  1325112 |      True |  1325112 |  182.255 | -43.0997 |         100.279804 |  0.0005616723789131328 |    0.6 |    0.14176842278337484 |    9 |        0.9 |  Target[name=MS230501i, ra[deg]=182.255, dec[deg]=-43.0997 |  <FixedTarget "MS230501i" at SkyCoord (ICRS): (ra, dec) in deg (182.255, -43.0997)> | a0ebfdd1a9d14d8785df64beb7dfb03f | 51.043835658982275 | 2023-05-01T06:31:47.066 | 2023-05-01 11:37:07.120301 | 2023-05-01T16:43:02.075 |  78.04 |
