name,ra,dec,d_L,prob_vol,stmass,prob_vol_x_stmass,rank,confidence,obj,note,weight
1024873,352.229,17.310,108.990,2.317951637682553e-05,14.0,1.000,0,0.5,MS230501o,1024873,1.000
88676,352.229,17.310,105.353,2.321041072069018e-05,12.0,0.858,1,0.5,MS230501o,88676,0.858
6926,29.201,35.995,110.186,2.5622188202748362e-06,100.0,0.790,2,0.5,MS230501o,6926,0.790
88620,345.815,8.874,76.572,9.986424461433895e-06,20.0,0.615,3,0.5,MS230501o,88620,0.615
1026350,4.907,29.934,118.169,1.288549642221294e-05,9.0,0.357,4,0.5,MS230501o,1026350,0.357
1030076,352.126,17.278,115.297,2.211941803546271e-05,4.900000095367432,0.334,5,0.5,MS230501o,1030076,0.334
1024626,12.449,32.278,76.691,1.0715253509909162e-05,8.0,0.264,6,0.5,MS230501o,1024626,0.264
1031651,4.100,28.977,118.554,1.7800015556664452e-05,4.800000190734863,0.263,7,0.5,MS230501o,1031651,0.263
1028319,3.933,27.444,120.279,2.1329860853793027e-05,4.0,0.263,8,0.5,MS230501o,1028319,0.263
1028679,5.610,29.504,115.453,2.104080929279597e-05,4.0,0.259,9,0.5,MS230501o,1028679,0.259
1030555,3.642,28.450,111.148,2.085629224079633e-05,4.0,0.257,10,0.5,MS230501o,1030555,0.257
1024697,345.815,8.874,77.595,1.0305525604995207e-05,8.0,0.254,11,0.5,MS230501o,1024697,0.254
1030487,3.349,28.369,118.227,1.865252056275747e-05,4.400000095367432,0.253,12,0.5,MS230501o,1030487,0.253
1031890,3.553,28.545,115.702,1.8658823118398453e-05,4.300000190734863,0.247,13,0.5,MS230501o,1031890,0.247
1029500,4.496,29.470,112.509,1.542351982808928e-05,5.199999809265137,0.247,14,0.5,MS230501o,1029500,0.247
310,17.745,33.152,90.773,5.616374966347682e-06,14.0,0.242,15,0.5,MS230501o,310,0.242
1177,355.162,20.441,105.865,2.5760987675921376e-05,3.0,0.238,16,0.5,MS230501o,1177,0.238
1036839,3.613,28.514,116.920,2.0040450686931525e-05,3.700000047683716,0.228,17,0.5,MS230501o,1036839,0.228
1025159,5.625,29.745,78.039,1.2905759925801267e-05,5.699999809265137,0.227,18,0.5,MS230501o,1025159,0.227
110799,341.143,3.646,115.970,7.3049527214941585e-06,10.0,0.225,19,0.5,MS230501o,110799,0.225
1031304,1.667,26.155,120.513,2.4209957635970066e-05,3.0,0.224,20,0.5,MS230501o,1031304,0.224
110412,1.667,26.154,122.039,2.3410979671614215e-05,3.0,0.216,21,0.5,MS230501o,110412,0.216
1094,357.058,21.215,104.707,1.749622304880557e-05,4.0,0.216,22,0.5,MS230501o,1094,0.216
377,2.473,25.924,72.244,9.736020114522779e-06,7.0,0.210,23,0.5,MS230501o,377,0.210
1037789,358.479,23.069,120.114,2.258923640076713e-05,3.0,0.209,24,0.5,MS230501o,1037789,0.209
1035639,2.689,27.869,121.648,1.8230262992554065e-05,3.700000047683716,0.208,25,0.5,MS230501o,1035639,0.208
1030864,347.753,13.632,107.589,1.454416434954813e-05,4.599999904632568,0.206,26,0.5,MS230501o,1030864,0.206
1034609,6.968,30.601,110.495,1.9504484280360217e-05,3.299999952316284,0.198,27,0.5,MS230501o,1034609,0.198
1027764,13.368,32.482,93.329,1.4164317702479084e-05,4.400000095367432,0.192,28,0.5,MS230501o,1027764,0.192
1025366,10.902,30.587,90.877,8.791310231242635e-06,7.0,0.190,29,0.5,MS230501o,1025366,0.190
1027399,346.802,8.752,100.574,1.055188050790383e-05,5.800000190734863,0.189,30,0.5,MS230501o,1027399,0.189
1028476,354.900,21.916,108.228,1.4538830090835228e-05,4.0,0.179,31,0.5,MS230501o,1028476,0.179
1024897,6.499,29.212,77.430,1.4175464636415394e-05,4.0,0.175,32,0.5,MS230501o,1024897,0.175
879,12.196,31.957,71.642,8.061548405601647e-06,7.0,0.174,33,0.5,MS230501o,879,0.174
1031257,344.374,8.794,106.481,1.2726165362116036e-05,4.400000095367432,0.173,34,0.5,MS230501o,1031257,0.173
1029383,3.932,29.667,110.311,1.0276095919683356e-05,5.400000095367432,0.171,35,0.5,MS230501o,1029383,0.171
1254,352.020,18.531,106.934,1.828590655237988e-05,3.0,0.169,36,0.5,MS230501o,1254,0.169
1025511,17.652,33.126,95.650,6.0536958364510305e-06,9.0,0.168,37,0.5,MS230501o,1025511,0.168
23376,7.251,30.465,133.503,1.3605951922524748e-05,4.0,0.168,38,0.5,MS230501o,23376,0.168
1024867,27.639,36.371,88.706,5.980520964904924e-06,9.0,0.166,39,0.5,MS230501o,1024867,0.166
1024793,21.418,34.713,82.421,5.978256764949278e-06,9.0,0.166,40,0.5,MS230501o,1024793,0.166
1025396,9.622,29.511,90.202,6.669348855480061e-06,8.0,0.164,41,0.5,MS230501o,1025396,0.164
1037,7.062,30.803,100.864,1.774847682975386e-05,3.0,0.164,42,0.5,MS230501o,1037,0.164
1027725,4.618,30.041,117.222,1.0954132176556391e-05,4.699999809265137,0.159,43,0.5,MS230501o,1027725,0.159
1293,349.877,16.075,114.893,1.711988926558178e-05,3.0,0.158,44,0.5,MS230501o,1293,0.158
1029122,7.280,31.003,99.417,1.635830609927473e-05,3.0,0.151,45,0.5,MS230501o,1029122,0.151
1033679,5.301,29.646,145.474,8.135686357030377e-06,5.699999809265137,0.143,46,0.5,MS230501o,1033679,0.143
709,4.598,30.063,106.123,8.5543988599682e-06,5.400000095367432,0.142,47,0.5,MS230501o,709,0.142
1034005,5.567,30.248,105.108,1.4895456537383992e-05,3.0999999046325684,0.142,48,0.5,MS230501o,1034005,0.142
