objname ra dec priority obsdate
J0218+4534 34.6586 45.5777 0.0 ""
J0422+2854 65.7033 28.904 0.0 ""
J0425+3454 66.2837 34.9133 0.0 ""
J0319+3309 49.9753 33.1636 0.0 ""
J1317+8637 199.3724 86.6268 0.0 ""
J1505+8604 226.3111 86.0753 0.0 ""
J1846+8425 281.7071 84.4181 0.0 ""
J1918+4222 289.5642 42.3799 0.0 ""
J2135+3348 323.9296 33.8053 0.0 ""
J2139+2929 324.8727 29.4961 0.0 ""
J2206+2757 331.716 27.9662 0.0 ""
J2225+3952 336.4773 39.8795 0.0 ""
J2251+3727 342.8492 37.4604 0.0 ""
J2235+4431 338.9504 44.5308 1.0 ['221027/']
J0214+3824 33.6604 38.4148 1.0 ['221027/']
J2332+2136 353.1988 21.6103 1.0 ['221027/']
J0245+7718 41.3216 77.3059 2.0 "['AllBRICQS_LJXL/', '230130/']"
J0141+7307 25.3294 73.1285 2.0 ['AllBRICQS_LJXL/']
J0219+4828 34.9536 48.4683 2.0 "['230128/', '230131/']"
J2232+4230 338.0374 42.5016 2.0 ['AllBRICQS_LJXL/']
J0653+6716 103.3123 67.2795 2.0 ['230130/']
J0152+3143 28.0699 31.7171 2.0 "['AllBRICQS_LJXL/', '230131/']"
J1811+2409 272.8511 24.1503 3.0 ['AllBRICQS_LJXL/']
J1807+3637 271.7788 36.6215 3.0 ['230130/']
J1410+7533 212.5899 75.5651 3.0 ['230130/']
J1418+6702 214.6939 67.0424 3.0 ['230130/']
J1040+6711 160.1677 67.1917 3.0 ['230130/']
J0919+7539 139.9001 75.6623 3.0 ['230130/']
J0728+2056 112.1122 20.9385 3.0 "['230128/', '230131/', '230131/']"
J0712+3142 108.2353 31.706 3.0 "['230128/', '230130/', '230131/']"
J2330+3937 352.6161 39.621 3.0 "['221027/', '230127/', '230131/']"
J1143+7727 175.8681 77.4592 3.0 "['230130/', '230131/']"
J1813+3844 273.4528 38.7482 3.1 ['221027/']
J1846+3616 281.7226 36.2796 3.1 ['221027/']
J1859+5130 284.9838 51.5094 3.1 ['221027/']
J1938+5408 294.5447 54.1489 3.1 ['221027/']
J2114+2524 318.5876 25.4062 3.1 ['221027/']
J2217+3555 334.3668 35.93 3.1 ['221027/']
J0052+4721 13.1842 47.3663 3.1 ['221027/']
J0212+3306 33.2025 33.112 3.1 ['221027/']
