wave flux
4003.515 7.320320290203536e-13
4007.844 7.313095152992321e-13
4012.172 7.304158995542775e-13
4016.501 7.293563038139986e-13
4020.83 7.281364510166115e-13
4025.159 7.267618772025419e-13
4029.488 7.252381184122161e-13
4033.817 7.235707106860597e-13
4038.146 7.217651900644979e-13
4042.475 7.198270925879579e-13
4046.805 7.177614629992471e-13
4051.134 7.155747925059563e-13
4055.464 7.132716096769676e-13
4059.794 7.1085794568769e-13
4064.124 7.083393404159157e-13
4068.454 7.057213337394361e-13
4072.784 7.03009465536044e-13
4077.114 7.002092756835309e-13
4081.445 6.973256291116975e-13
4085.775 6.943653983954007e-13
4090.106 6.913327588728375e-13
4094.437 6.882339292089308e-13
4098.768 6.850744531206109e-13
4103.099 6.818598743248094e-13
4107.43 6.785957365384569e-13
4111.761 6.752875834784847e-13
4116.092 6.719409588618243e-13
4120.424 6.685606227130404e-13
4124.755 6.651536804511291e-13
4129.087 6.617241052847741e-13
4133.419 6.582782284641846e-13
4137.75 6.54822396291011e-13
4142.082 6.513605593972063e-13
4146.415 6.478982636554352e-13
4150.747 6.444426557963363e-13
4155.079 6.409984840722193e-13
4159.412 6.375705072956812e-13
4163.744 6.341658563566234e-13
4168.077 6.307885097269573e-13
4172.41 6.274448075524581e-13
4176.743 6.241403012336533e-13
4181.076 6.208805421710742e-13
4185.409 6.176710817652489e-13
4189.742 6.145174714167058e-13
4194.076 6.114245563985884e-13
4198.409 6.083993164587918e-13
4202.743 6.054459094022003e-13
4207.076 6.025712505983257e-13
4211.41 5.997795673563849e-13
4215.744 5.97077087578223e-13
4220.078 5.94469366508829e-13
4224.413 5.919613928527741e-13
4228.747 5.895596332970897e-13
4233.081 5.872618350338959e-13
4237.416 5.850580593686173e-13
4241.751 5.82938992143389e-13
4246.085 5.808952410425108e-13
4250.42 5.7891600883361e-13
4254.755 5.769919193314533e-13
4259.09 5.751131165337421e-13
4263.426 5.732693225375719e-13
4267.761 5.714515299043863e-13
4272.096 5.696494536951646e-13
4276.432 5.678528234736123e-13
4280.768 5.660521935531731e-13
4285.104 5.642377011092122e-13
4289.439 5.623999107534887e-13
4293.775 5.605282394845668e-13
4298.112 5.586174917312583e-13
4302.448 5.566691266461979e-13
4306.784 5.546836524434166e-13
4311.121 5.526615431014654e-13
4315.457 5.506046756163907e-13
4319.794 5.485130460428685e-13
4324.131 5.463880697005458e-13
4328.468 5.442306915652787e-13
4332.805 5.420418566129216e-13
4337.142 5.398225098193307e-13
4341.48 5.375730742822424e-13
4345.817 5.352955322432494e-13
4350.155 5.329897788658256e-13
4354.492 5.306578223564506e-13
4358.83 5.282995327854595e-13
4363.168 5.259163904251689e-13
4367.506 5.235093409052452e-13
4371.844 5.210793298553563e-13
4376.182 5.186273029051686e-13
4380.521 5.161536332271185e-13
4384.859 5.136604068352008e-13
4389.198 5.11147420349495e-13
4393.536 5.08616777906516e-13
4397.875 5.060682588759736e-13
4402.214 5.035033908421255e-13
4406.553 5.009231200887523e-13
4410.892 4.983285537675468e-13
4415.232 4.957211371591304e-13
4419.571 4.931044601335034e-13
4423.911 4.904797060726719e-13
4428.25 4.878504733085079e-13
4432.59 4.852179394356295e-13
4436.93 4.825850998743031e-13
4441.27 4.799543445852709e-13
4445.61 4.77328063529276e-13
4449.95 4.747086466670599e-13
4454.29 4.720984839593657e-13
4458.631 4.694993681553541e-13
4462.971 4.669148871479942e-13
4467.312 4.643462410862901e-13
4471.653 4.617964187949937e-13
4475.994 4.592678118872753e-13
4480.335 4.567628119763037e-13
4484.676 4.542838106752494e-13
4489.017 4.518331995972824e-13
4493.358 4.4941337035557183e-13
4497.7 4.4702616877481383e-13
4502.041 4.446749379481553e-13
4506.383 4.4235905900477827e-13
4510.725 4.400783685885256e-13
4515.067 4.378321368062694e-13
4519.409 4.3561963376487974e-13
4523.751 4.334401295712269e-13
4528.093 4.312928943321825e-13
4532.436 4.2917671446820575e-13
4536.778 4.270918344705365e-13
4541.121 4.2503656375012654e-13
4545.463 4.2301111874887477e-13
4549.806 4.2101383625451564e-13
4554.149 4.1904445569936176e-13
4558.492 4.1710224668586674e-13
4562.836 4.1518604068896635e-13
4567.179 4.132959894020805e-13
4571.522 4.1143091829603256e-13
4575.866 4.09589675850275e-13
4580.21 4.077719634541919e-13
4584.553 4.059774608317015e-13
4588.897 4.0420461297096124e-13
4593.241 4.024532314821625e-13
4597.585 4.007229031713883e-13
4601.93 3.990128398052861e-13
4606.274 3.9732343143844105e-13
4610.618 3.956538851281044e-13
