RA_ICRS,DE_ICRS,Bmag,BFlag,Vmag,VFlag,Rmag,RFlag,gmag,gFlag,rmag,rFlag,imag,iFlag,e_Bmag,e_Vmag,e_Rmag,e_gmag,e_rmag,e_imag
40.61846864833,-31.26911638152,17.449265,1,16.994427,1,16.679110,1,17.146587,1,16.852724,1,16.739244,1,0.02,0.02,0.02,0.02,0.02,0.02
40.60603481633,-31.23590105069,18.132221,1,17.273912,1,16.757336,1,17.651820,1,16.968744,1,16.715010,1,0.02,0.02,0.02,0.02,0.02,0.02
40.61533360833,-31.22708621646,18.273664,1,17.499410,1,17.028976,1,17.826681,1,17.235040,1,16.996643,1,0.02,0.02,0.02,0.02,0.02,0.02
40.44528347384,-31.25126801598,17.797354,1,16.912466,1,16.391178,1,17.308260,1,16.605360,1,16.340080,1,0.02,0.02,0.02,0.02,0.02,0.02
40.53998449806,-31.24561036064,16.590687,1,15.992271,1,15.635206,1,16.217020,1,15.817321,1,15.672331,1,0.02,0.02,0.02,0.02,0.02,0.02
40.50042979865,-31.25215837597,17.252787,1,16.562727,1,16.165565,1,16.841457,1,16.352808,1,16.191475,1,0.02,0.02,0.02,0.02,0.02,0.02
40.51579287511,-31.22193439221,18.256104,1,17.576061,1,17.182170,1,17.845703,1,17.372990,1,17.196182,1,0.02,0.02,0.02,0.02,0.02,0.02
40.53955522444,-31.23436325320,19.130030,1,17.928667,1,17.143408,1,18.552462,1,17.402610,1,16.959900,1,0.02,0.02,0.02,0.02,0.02,0.02
40.45407097699,-31.23723401668,15.031182,1,14.209511,1,13.734770,1,14.568898,0,13.946237,0,13.689108,0,0.02,0.02,0.02,0.02,0.02,0.02
40.47976728602,-31.20800394741,17.183117,1,16.644983,1,16.307910,1,16.836655,1,16.482210,1,16.369543,1,0.02,0.02,0.02,0.02,0.02,0.02
40.47097294656,-31.19389720029,14.514461,1,13.949564,1,13.608471,1,14.156028,0,13.785760,0,13.660320,0,0.02,0.02,0.02,0.02,0.02,0.02
40.50453707285,-31.19515616148,17.003380,1,16.057497,1,15.507316,1,16.486986,1,15.718314,1,15.462373,1,0.02,0.02,0.02,0.02,0.02,0.02
40.51898243064,-31.17166214322,19.482475,0,18.018440,1,16.987774,1,18.781174,1,17.439114,1,16.361220,1,0.02,0.02,0.02,0.02,0.02,0.02
40.54259502866,-31.17177313016,19.385980,0,17.877237,1,16.736135,1,18.655956,1,17.262104,1,15.988340,1,0.02,0.02,0.02,0.02,0.02,0.02
40.41988042328,-31.17050391628,19.421453,0,18.077698,1,17.172379,1,18.797400,1,17.493528,1,16.803755,1,0.02,0.02,0.02,0.02,0.02,0.02
40.49275581305,-31.14799909278,18.743092,0,17.359365,1,16.448557,1,18.106054,1,16.771854,1,16.074099,1,0.02,0.02,0.02,0.02,0.02,0.02
40.50085607303,-31.12787011402,18.334772,0,16.879715,1,15.918810,1,17.671137,1,16.267174,1,15.490488,1,0.02,0.02,0.02,0.02,0.02,0.02
40.41197074171,-31.08211899640,18.368982,1,17.712679,1,17.326584,1,17.968554,1,17.505983,1,17.363754,1,0.02,0.02,0.02,0.02,0.02,0.02
42.72341513458,-31.24926619536,18.433125,0,17.009562,1,16.069477,1,17.783665,1,16.400370,1,15.685016,1,0.02,0.02,0.02,0.02,0.02,0.02
42.70408349645,-31.23353697545,17.171055,1,16.140326,1,15.309130,1,16.719320,1,15.577721,1,15.140193,1,0.02,0.02,0.02,0.02,0.02,0.02
42.35210458203,-31.24286248633,19.117752,0,17.656742,1,16.699806,1,18.451570,1,17.044928,1,16.278175,1,0.02,0.02,0.02,0.02,0.02,0.02
42.58248644698,-31.26853765216,12.142143,1,11.601158,1,11.282989,1,11.791877,0,11.452873,0,11.361826,0,0.02,0.02,0.02,0.02,0.02,0.02
42.63974092192,-31.24835042589,18.369030,1,17.520477,1,17.001219,1,17.894234,1,17.213722,1,16.946815,1,0.02,0.02,0.02,0.02,0.02,0.02
42.64198469468,-31.22937847965,16.279728,1,15.413938,1,14.893433,1,15.800721,1,15.101615,1,14.857141,1,0.02,0.02,0.02,0.02,0.02,0.02
42.64106567616,-31.23558038509,19.531828,0,18.197660,1,17.317766,1,18.923973,1,17.611681,1,17.026344,1,0.02,0.02,0.02,0.02,0.02,0.02
42.63195826443,-31.22860646735,17.395779,1,16.314781,1,15.647797,1,16.848312,1,15.880952,1,15.544133,1,0.02,0.02,0.02,0.02,0.02,0.02
42.65617669267,-31.23069012273,14.860013,1,14.205504,1,13.835808,1,14.460161,0,14.017202,0,13.879487,0,0.02,0.02,0.02,0.02,0.02,0.02
42.69199856539,-31.20501060812,18.624450,1,17.796984,1,17.320720,1,18.157540,1,17.523745,1,17.305304,1,0.02,0.02,0.02,0.02,0.02,0.02
42.65373333387,-31.21317632931,19.855545,0,18.348780,1,17.294685,1,19.138914,1,17.753542,1,16.652561,1,0.02,0.02,0.02,0.02,0.02,0.02
42.58027912933,-31.20917747384,17.203005,1,16.481747,1,16.060314,1,16.779875,1,16.254520,1,16.065786,1,0.02,0.02,0.02,0.02,0.02,0.02
42.59838205996,-31.17242804114,18.170334,1,17.351654,1,16.545328,1,17.823832,1,16.805990,1,16.403513,1,0.02,0.02,0.02,0.02,0.02,0.02
42.63997533016,-31.14502153487,13.920801,1,13.322371,1,12.980165,1,13.544712,0,13.153741,0,13.048078,0,0.02,0.02,0.02,0.02,0.02,0.02
42.43539878593,-31.23925677173,15.488735,1,14.815122,1,14.433671,1,15.081565,1,14.617634,1,14.469174,1,0.02,0.02,0.02,0.02,0.02,0.02
42.52069804205,-31.22021593431,16.909090,1,15.805066,1,15.129538,1,16.352130,1,15.367969,1,15.008624,1,0.02,0.02,0.02,0.02,0.02,0.02
42.46698310307,-31.20452808289,19.049696,0,17.587452,1,16.661911,1,18.386230,1,16.980967,1,16.309620,1,0.02,0.02,0.02,0.02,0.02,0.02
42.49970476342,-31.19074446090,13.633277,1,12.928613,1,12.537969,1,13.210714,0,12.719980,0,12.580555,0,0.02,0.02,0.02,0.02,0.02,0.02
42.42184858081,-31.21084257865,16.618310,1,15.949401,1,15.554769,1,16.216482,1,15.742451,1,15.575203,1,0.02,0.02,0.02,0.02,0.02,0.02
42.40211926135,-31.21710412079,16.344640,1,15.681636,1,15.287547,1,15.949128,1,15.478934,1,15.299746,1,0.02,0.02,0.02,0.02,0.02,0.02
42.48020758168,-31.18097951358,18.188433,1,17.701350,1,17.366430,1,17.872303,1,17.536010,1,17.431137,1,0.02,0.02,0.02,0.02,0.02,0.02
42.55917933383,-31.17720201052,18.827055,1,17.769503,1,17.123550,1,18.292831,1,17.353876,1,17.012321,1,0.02,0.02,0.02,0.02,0.02,0.02
42.50473039991,-31.17095331577,14.502314,1,13.752249,1,13.334870,1,14.060232,0,13.523425,0,13.358923,0,0.02,0.02,0.02,0.02,0.02,0.02
